,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,5,7,7,7,16,8,9,6,8,7,6,7,7,7,6,8,6,7,5,5,7,18,6,13,7,9,7,5,4
dove,duif,0,0,7,6,8,9,7,8,6,6,8,5,9,7,8,7,5,7,8,8,5,7,7,6,6,5,7,7,5,8
duck,eend,0,0,0,6,9,7,7,10,7,7,8,7,7,7,8,6,4,5,6,10,4,5,6,5,9,7,7,7,14,9
magpie,ekster,0,0,0,0,7,7,8,7,9,8,8,13,5,10,7,5,6,8,9,6,7,6,7,7,13,8,9,8,6,6
pheasant,fazant,0,0,0,0,0,8,9,9,7,6,9,7,9,9,8,7,6,8,5,6,6,6,6,7,8,6,7,5,7,6
vulture,gier,0,0,0,0,0,0,8,6,6,10,6,8,6,6,7,6,4,7,8,6,6,5,5,5,7,7,8,8,6,11
rooster,haan,0,0,0,0,0,0,0,8,7,16,8,8,6,5,7,6,6,6,7,8,6,6,5,8,5,7,10,7,7,7
turkey,kalkoen,0,0,0,0,0,0,0,0,9,12,8,8,4,6,6,7,6,7,7,16,6,8,7,8,7,8,7,10,9,9
canary,kanarie,0,0,0,0,0,0,0,0,0,8,7,7,7,6,8,13,6,7,7,5,7,5,5,8,7,4,7,5,8,7
chicken,kip,0,0,0,0,0,0,0,0,0,0,7,7,8,7,7,4,5,6,7,6,5,8,5,6,7,4,6,6,6,5
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,8,7,5,7,10,8,6,7,5,6,7,7,8,10,7,7,7,9,8
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,9,7,7,11,8,5,11,7,11,7,9,8,6,7
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,13,6,5,9,6,5,5,4,6,11,5,8,7,7,9
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,8,7,6,6,11,8,6,7,8,8,6,14
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,6,9,7,6,5,6,6,6,8,8,5,5
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,7,6,5,5,13,9,5,8,7,11,4
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,11,6,6,5,6,12,6,6,8,10
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6,7,9,5,9,8,7,9,7,6
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,8,8,7,8,10,6,7
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,5,6,8,6,7,9,7
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,7,7,8,7,10,7
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,9,6,7,6,5
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,7,11,8,11
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,6,5,7
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,7,8
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,7
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
