,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,5,6,5,8,11,6,10,2,6,3,6,2,6,3,2,10,6,3,7,6,5,9,7,7,13,7,15,4,6
dove,duif,0,0,16,10,6,4,10,9,18,14,17,10,9,12,13,15,4,7,6,6,3,4,6,11,11,4,14,8,6,8
duck,eend,0,0,0,15,10,3,10,13,6,17,9,9,8,17,11,6,6,6,6,7,15,10,8,7,7,9,8,13,8,14
magpie,ekster,0,0,0,0,3,7,9,8,14,12,10,12,10,9,12,11,4,7,6,6,5,3,10,7,15,3,11,10,6,12
pheasant,fazant,0,0,0,0,0,8,10,18,7,10,8,6,7,12,7,7,8,7,6,18,10,6,7,6,9,15,6,8,7,6
vulture,gier,0,0,0,0,0,0,7,16,3,8,8,8,3,5,5,5,10,6,3,11,7,7,7,2,8,16,9,9,6,7
rooster,haan,0,0,0,0,0,0,0,10,6,19,10,11,6,12,8,7,4,9,9,8,7,3,7,3,9,3,7,5,2,8
turkey,kalkoen,0,0,0,0,0,0,0,0,6,15,9,12,6,7,8,16,8,7,6,18,10,6,11,3,7,12,9,6,8,6
canary,kanarie,0,0,0,0,0,0,0,0,0,8,7,6,12,6,6,10,5,10,17,5,3,5,6,6,8,6,8,4,6,9
chicken,kip,0,0,0,0,0,0,0,0,0,0,9,10,11,11,8,7,6,10,9,10,6,7,7,6,8,3,7,7,6,8
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,6,6,13,9,8,7,8,13,6,8,6,8,7,13,4,11,8,4,13
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,13,15,9,3,6,6,6,8,16,6,7,2,13,6,10,13,3,14
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,16,2,4,13,4,6,5,6,14,9,6,6,3,10,9
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,11,11,6,7,9,6,5,9,6,7,6,7,10
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,10,6,6,3,7,17,11,3,9,6,4,12
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,3,6,3,7,13,7,5,10,7,6,3
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,10,13,6,15,3,3,6,7,15,16,6
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,7,7,7,5,10,5,13,8,3,9
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,8,10,6,6,6,6,6
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,6,7,9,8,9,6,6
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,4,7,7,9,8,11,8
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,6,4,7,6,6
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,8,11,15,7
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,3,3,6
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,6,13
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
