,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,11,5,11,11,16,11,9,12,11,13,13,11,13,11,12,16,17,12,10,11,11,13,9,13,11,14,18,12,11
dove,duif,0,0,8,12,11,11,7,9,12,11,13,13,13,14,13,14,12,11,12,11,11,8,12,18,14,11,12,12,11,10
duck,eend,0,0,0,11,9,8,9,14,11,11,11,5,8,9,11,9,10,5,11,10,12,15,11,9,8,3,11,7,16,11
magpie,ekster,0,0,0,0,12,11,9,11,12,6,12,14,12,14,16,13,12,13,11,8,11,6,13,13,14,11,14,12,11,14
pheasant,fazant,0,0,0,0,0,11,12,11,11,9,11,11,11,11,8,11,12,10,12,14,7,8,11,10,11,11,9,10,9,11
vulture,gier,0,0,0,0,0,0,11,12,7,9,11,13,6,11,11,11,14,14,11,11,13,7,14,9,12,12,11,16,11,11
rooster,haan,0,0,0,0,0,0,0,17,11,18,7,13,11,9,11,9,10,12,8,11,11,9,11,11,8,11,13,13,8,7
turkey,kalkoen,0,0,0,0,0,0,0,0,8,18,11,9,9,9,11,11,11,11,9,7,11,11,11,8,11,11,8,12,12,11
canary,kanarie,0,0,0,0,0,0,0,0,0,11,14,13,16,11,15,14,11,12,18,11,11,9,12,15,12,7,12,11,11,16
chicken,kip,0,0,0,0,0,0,0,0,0,0,7,12,11,6,6,7,11,12,11,11,9,9,11,4,8,6,6,9,6,8
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,11,11,13,13,14,14,11,13,13,13,11,14,11,13,12,17,12,11,11
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,12,15,17,13,12,12,12,11,9,11,12,12,14,9,14,14,11,12
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,18,9,11,14,8,11,11,8,13,15,6,11,13,11,16
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,11,11,13,8,15,7,13,11,14,9,12,14,12,14
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,13,14,11,11,6,11,14,15,4,8,11,7,14
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,13,11,11,9,12,17,13,6,8,12,9,18
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,7,14,7,16,11,14,12,13,14,12,10
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,9,12,11,11,11,12,14,11,11
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,5,11,14,12,9,13,13,8,15
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,14,9,15,11,12,10,9,11
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,13,12,10,11,12,9
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,11,11,11,14,6
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,11,12,13,12,11
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,12,13,11,16
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,8,13
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,11
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,12
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
