,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,9,9,9,9,15,10,8,9,9,10,9,8,11,9,9,9,10,9,9,10,8,9,8,9,11,11,16,8,11
dove,duif,0,0,11,11,10,9,11,9,10,14,15,11,12,9,11,12,10,9,11,9,11,9,9,11,9,7,11,11,9,13
duck,eend,0,0,0,9,11,8,11,14,12,15,9,9,10,12,9,10,10,10,11,9,11,11,9,9,9,9,8,9,14,10
magpie,ekster,0,0,0,0,10,9,10,9,10,10,11,12,10,9,12,11,12,11,10,9,9,9,10,11,11,9,9,9,9,12
pheasant,fazant,0,0,0,0,0,8,13,13,11,12,11,9,9,9,9,9,9,9,11,15,8,11,10,9,10,12,11,8,10,8
vulture,gier,0,0,0,0,0,0,8,10,9,8,9,10,8,10,8,8,10,9,9,10,9,8,12,8,10,9,10,14,9,9
rooster,haan,0,0,0,0,0,0,0,13,10,18,10,12,9,9,9,10,10,10,11,11,9,9,10,8,9,9,11,9,10,9
turkey,kalkoen,0,0,0,0,0,0,0,0,9,15,9,9,9,9,10,9,9,9,9,10,14,7,10,9,9,14,9,9,11,9
canary,kanarie,0,0,0,0,0,0,0,0,0,9,9,9,10,9,9,11,9,14,11,11,8,8,9,10,11,8,9,9,10,8
chicken,kip,0,0,0,0,0,0,0,0,0,0,10,9,11,10,11,13,9,10,9,10,8,11,8,10,9,10,11,8,9,9
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,11,9,10,8,9,7,8,10,10,11,9,10,10,8,11
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,10,9,12,9,9,9,9,10,9,8,9,10,11,8,10
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,9,9,11,9,8,9,9,13,9,7,10,10,9,10
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,11,10,8,12,10,12,9,10,9,10,9,11,9
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,9,9,9,7,9,10,10,9,9,9,9,10
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,9,8,9,14,9,8,8,9,8,11
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,12,9,16,9,11,11,10,11,9,8
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,8,10,10,13,9,10,12,10,10
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,7,9,12,13,10,9,11,9,9
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,9,9,13,10,9,10,9
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,11,10,9,9,10,9
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,13,9,8,10,9
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,10,8,13,10
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,8,9,11
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,10,12
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,8
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,9
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
