,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,5,2,7,15,14,15,7,10,7,10,2,2,14,12,10,3,4,8,3,3,4,7,20,1,4,7,7,11,8
boat,boot,0,0,3,4,10,13,10,10,14,3,2,1,20,4,3,12,4,4,5,4,8,1,4,4,6,5,6,8,12,4
scooter,bromfiets,0,0,0,20,7,7,7,5,2,16,7,1,4,7,7,3,4,4,17,4,3,3,13,7,5,3,2,3,4,6
motorbike,brommer,0,0,0,0,6,4,3,4,1,18,14,4,6,11,10,6,7,5,18,6,4,7,12,7,5,7,4,6,2,3
bus,bus,0,0,0,0,0,17,12,14,7,5,7,5,11,11,3,12,2,15,9,10,1,2,5,14,6,15,17,8,13,11
truck,camion,0,0,0,0,0,0,19,14,12,2,6,1,4,15,6,8,1,6,4,8,1,1,5,5,12,12,11,5,20,5
van,camionette,0,0,0,0,0,0,0,13,8,5,10,6,5,13,3,8,4,8,3,4,1,2,6,13,12,13,11,5,18,2
trailer,caravan,0,0,0,0,0,0,0,0,9,3,4,1,12,8,12,17,1,14,7,1,1,2,4,10,12,13,13,4,12,10
submarine,duikboot,0,0,0,0,0,0,0,0,0,4,4,1,12,7,3,1,3,10,1,13,1,1,4,4,6,4,14,7,6,12
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,13,1,1,4,10,6,2,7,14,3,6,1,10,5,4,9,8,1,3,4
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,2,11,10,9,13,2,5,12,1,10,2,10,6,5,4,7,4,8,2
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,10,3,4,5,6,5,1,5,4,6,5,12,1,14
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,7,5,2,3,4,2,6,5,7,7,13,5,6
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,4,4,10,3,1,4,3,16,14,7,6,8,14,1
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,7,5,1,11,4,6,10,11,6,8,2,7,4
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,2,2,11,1,12,12,14,9,4,6,3
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,2,1,3,2,4,4,2,13,2,15
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,4,5,6,2,19,19,4,10,1
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,8,10,8,7,5,7,6,4
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,2,4,15,15,7,10
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,9,1,1,2,1,2,1
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,2,2,1,2,5,1
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,1,1,1
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,9,11,5
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,15,6
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,8,9
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,9
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
