,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,2,14,3,11,14,15,5,1,2,13,1,2,17,14,15,2,3,3,1,2,15,3,17,4,5,2,2,13,2
boat,boot,0,0,2,1,2,5,3,2,2,1,2,2,14,1,1,2,3,5,1,1,4,4,1,2,2,2,1,1,9,11
scooter,bromfiets,0,0,0,19,6,2,4,6,1,7,13,2,1,3,4,3,2,2,19,1,7,2,6,10,3,1,4,2,3,2
motorbike,brommer,0,0,0,0,2,3,6,2,2,14,11,3,3,8,2,4,1,2,18,4,13,8,7,2,4,2,2,3,3,2
bus,bus,0,0,0,0,0,17,15,12,3,1,2,6,2,4,4,15,1,11,3,1,2,3,1,2,10,17,14,11,13,10
truck,camion,0,0,0,0,0,0,14,12,2,2,6,2,14,12,12,12,2,15,3,4,1,4,1,10,9,9,14,3,20,6
van,camionette,0,0,0,0,0,0,0,7,1,2,1,3,2,3,9,12,2,6,1,1,1,1,2,11,5,8,9,2,17,1
trailer,caravan,0,0,0,0,0,0,0,0,2,4,2,1,5,4,14,15,3,11,1,1,1,1,1,2,2,5,11,1,11,4
submarine,duikboot,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,1,4,2,1,1,1,2,1,1,1,1,1,1,3,4
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,15,3,2,2,4,14,1,1,5,2,4,11,15,3,2,2,2,2,1,1
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,2,1,11,5,14,1,2,12,1,12,12,15,5,12,1,4,1,13,1
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,2,13,1,2,2,1,1,1,1,2,1,1,11,2,5
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,9,9,2,1,3,10,2,2,1,3,2,9,4,14
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,1,11,1,4,3,3,5,3,1,2,1,12,2
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,2,1,4,12,4,8,3,11,9,1,17,3
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,2,14,3,17,3,15,15,2,14,10
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,1,1,1,1,9,9,19
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,19,17,1,2,2
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,3,9,9,2,1,1,3,3
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,1,2,4,2
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,1,3,1,1,1,1,1
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,3,4,4,1,3,4
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,13,3
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,15,9
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,9,11
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
