,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,6,4,5,5,3,15,6,4,5,9,1,-1,17,7,10,1,4,4,1,1,1,3,18,7,3,4,1,7,1
boat,boot,0,0,2,6,9,9,3,8,17,1,1,1,-1,3,5,10,1,1,3,1,1,1,1,5,4,2,3,2,9,2
scooter,bromfiets,0,0,0,20,1,2,6,1,1,7,6,2,-1,2,3,2,1,1,17,1,3,6,5,1,5,2,4,1,2,1
motorbike,brommer,0,0,0,0,8,7,3,3,1,12,8,1,-1,5,6,3,1,1,18,1,1,6,15,3,6,3,3,1,1,1
bus,bus,0,0,0,0,0,15,18,7,1,1,3,3,-1,6,5,3,2,16,12,1,2,2,3,15,6,10,14,3,18,6
truck,camion,0,0,0,0,0,0,17,8,1,5,1,1,-1,1,13,3,6,12,5,1,1,2,1,3,14,10,14,1,20,3
van,camionette,0,0,0,0,0,0,0,14,3,3,1,1,-1,14,13,6,3,13,3,1,1,1,1,4,5,7,11,3,18,2
trailer,caravan,0,0,0,0,0,0,0,0,1,3,1,5,-1,11,7,5,1,9,1,1,1,1,1,12,4,6,3,1,14,8
submarine,duikboot,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,16
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,5,1,-1,5,5,8,1,1,6,1,5,2,15,3,1,1,4,1,3,1
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,2,-1,2,8,8,1,1,4,1,9,13,9,5,3,1,2,1,4,1
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,8,6,1,1,1,1,2,1,4,1,3,16,5,9
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,3,8,1,1,10,2,11,11,5,4,2,15,1
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,3,1,1,15,6,2,6,5,3,2,10,3
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,6,6,8,10,3,1,3,1,5,1
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,4,2,3,2,11,5,15
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,3,6,1,18,16,1,11,1
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,6,4,5,1,3,3,7,1
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,12,1,1
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1,1,3,1,1,1,1
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,1,1,1,1,1
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,1,1
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,7,1,6,1
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,11,2
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,9,1
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
