,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,5,10,6,14,16,12,2,5,2,11,5,5,18,13,12,7,11,2,6,6,5,4,20,15,9,12,8,14,7
boat,boot,0,0,8,4,11,6,8,9,15,5,2,5,13,2,5,12,4,9,3,6,3,6,1,11,2,11,11,8,5,3
scooter,bromfiets,0,0,0,19,5,9,7,2,2,17,10,4,4,9,4,5,2,9,17,4,1,2,7,4,5,5,4,5,3,2
motorbike,brommer,0,0,0,0,2,4,3,2,2,16,4,3,4,8,6,5,3,4,18,2,1,2,15,3,10,7,3,4,4,2
bus,bus,0,0,0,0,0,16,12,12,3,4,5,10,10,11,10,16,4,15,5,3,4,4,3,13,8,16,13,13,15,7
truck,camion,0,0,0,0,0,0,18,12,10,4,2,8,7,16,7,14,11,13,4,2,2,6,3,12,8,10,12,12,20,9
van,camionette,0,0,0,0,0,0,0,10,8,1,9,6,5,15,9,9,2,8,4,2,1,3,1,12,13,9,14,12,19,6
trailer,caravan,0,0,0,0,0,0,0,0,5,5,5,2,10,9,8,15,4,3,6,1,2,4,5,6,7,5,11,3,7,9
submarine,duikboot,0,0,0,0,0,0,0,0,0,1,4,2,11,4,1,8,3,8,4,10,1,1,2,5,6,5,8,5,6,9
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,6,2,3,2,3,3,1,2,15,2,4,1,12,5,1,4,2,1,2,2
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,10,6,5,12,2,12,9,8,7,12,6,4,4,7,1
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,8,14,3,4,4,1,1,2,8,6,4,10,12,7,12
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,9,2,3,4,1,4,1,8,8,9,10,7,9,5
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,7,5,4,9,7,4,15,14,6,10,9,10,4
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,2,1,7,6,10,10,11,13,8,2,8,8
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,5,2,2,9,3,12,11,13,15,8,13,3
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,4,1,1,4,1,2,8,9,6,17
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,2,12,3,16,15,5,11,2
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,10,11,6,2,3,6,12,3
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,4,11,2,8
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,4,4,4,5,2,2,1
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,2,1,5,1
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,1,1,1
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,10,10,14,9
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,4
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,8,7
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
