,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,8,10,10,13,12,16,10,6,8,12,7,6,16,7,12,5,10,9,5,6,6,8,17,11,1,8,8,13,5
boat,boot,0,0,6,9,9,8,6,8,15,6,7,7,16,7,7,8,7,6,7,6,5,6,7,8,7,7,11,8,8,7
scooter,bromfiets,0,0,0,18,9,8,8,6,7,13,8,8,5,9,6,8,8,6,16,5,8,7,12,7,8,8,7,6,10,7
motorbike,brommer,0,0,0,0,9,8,10,7,6,12,6,7,6,8,6,8,7,7,18,6,8,7,11,9,9,10,9,8,8,6
bus,bus,0,0,0,0,0,14,8,8,7,8,8,7,6,11,9,7,7,13,9,6,6,6,8,12,10,14,14,10,12,6
truck,camion,0,0,0,0,0,0,17,9,7,7,6,7,8,13,9,11,8,7,10,5,6,5,9,12,12,8,9,8,19,6
van,camionette,0,0,0,0,0,0,0,10,5,7,9,7,4,11,8,8,10,8,7,6,5,6,7,12,10,11,7,7,16,5
trailer,caravan,0,0,0,0,0,0,0,0,5,6,8,6,5,8,14,12,7,6,7,4,7,9,6,7,7,7,8,7,9,6
submarine,duikboot,0,0,0,0,0,0,0,0,0,7,6,6,7,9,9,5,6,6,8,6,5,6,6,7,5,7,6,5,4,7
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,13,7,5,6,8,9,7,7,12,3,11,10,13,7,7,8,8,5,7,4
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,6,6,6,8,8,5,7,9,5,13,12,13,12,6,7,6,5,7,7
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,12,7,6,6,13,7,6,10,6,9,4,7,6,7,9,14,7,12
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,8,8,7,6,4,13,4,6,7,6,6,9,6,10
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,7,9,4,6,6,7,13,14,8,10,9,12,6
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,8,7,6,8,9,7,8,8,8,9,5,8,6
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,6,8,12,7,8,11,8,7,7,7,7
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,5,6,7,7,5,6,7,12,6,16
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,7,8,9,7,16,17,6,7,6
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,13,8,10,8,8,8,10,6
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,6,5,6,14,6,8
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,6,5,4,6,4,5,5
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,6,6,6,6,7
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,7,5,5,5
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,8,9,11,7
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,14,6
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,11,6
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
