,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,2,4,2,9,16,16,15,1,2,3,2,1,16,2,1,1,2,3,1,1,2,1,20,2,5,2,2,16,1
boat,boot,0,0,1,1,1,1,1,1,18,1,1,1,16,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1
scooter,bromfiets,0,0,0,20,1,1,2,1,1,13,6,1,1,2,1,1,1,1,16,1,1,1,4,1,2,1,1,1,2,1
motorbike,brommer,0,0,0,0,1,1,2,1,1,13,2,1,1,1,1,1,1,1,16,1,1,3,2,2,1,1,1,1,2,1
bus,bus,0,0,0,0,0,11,13,11,1,1,1,1,1,7,2,3,1,11,2,1,1,2,1,4,2,13,10,2,14,3
truck,camion,0,0,0,0,0,0,14,11,1,1,2,1,1,6,2,5,1,10,2,2,1,1,1,13,5,7,3,1,15,1
van,camionette,0,0,0,0,0,0,0,11,1,1,3,1,1,6,2,1,1,2,3,1,1,2,1,9,8,3,4,1,14,1
trailer,caravan,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,1,1,12,3,1,1,6,1,4,1,4,4,1,13,1
submarine,duikboot,0,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1,1,2,1,3,1,1,1,1,1,1,1,5,2,1
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,15,2,1,1,6,1,1,1,1,1,2,1
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,1,4,1,3,3,3,2,1,1,1,1,2,1
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,1,5,1,1,1,1,1,1,1,15,1,10
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1,1,1,1,1,1,1,1,3,1,6
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,1,1,1,18,2,2,2,1,16,2
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,2,16,1,3,3,1,1,1,1,1
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,3,1,3,1,1,12,1,2,1
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,9,1,16
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,1,16,13,7,7,1
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,2,1,1,2,1,1,1
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,6,4,1,1,1
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,1,1,1,1,1,1
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,1,1
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,10,1
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
