,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,9,11,10,14,15,13,13,11,11,14,11,12,18,10,12,10,9,12,9,11,18,10,19,12,10,10,12,13,8
boat,boot,0,0,9,9,12,12,10,9,18,9,10,9,17,10,12,11,10,9,9,9,8,9,9,10,9,9,10,12,12,16
scooter,bromfiets,0,0,0,20,10,11,12,10,10,16,10,9,9,10,10,9,10,9,16,8,10,10,10,10,12,10,9,14,11,9
motorbike,brommer,0,0,0,0,11,11,11,9,11,14,9,9,9,9,9,11,9,10,17,10,9,12,11,10,10,13,10,11,11,9
bus,bus,0,0,0,0,0,12,13,9,9,10,13,9,9,14,10,11,9,14,10,9,9,11,10,12,13,15,16,11,12,9
truck,camion,0,0,0,0,0,0,18,15,10,10,11,10,9,18,9,9,11,10,9,11,10,12,11,13,12,10,10,9,20,10
van,camionette,0,0,0,0,0,0,0,13,11,10,12,9,8,14,11,13,14,10,10,10,9,10,10,14,12,11,11,11,17,10
trailer,caravan,0,0,0,0,0,0,0,0,11,9,11,9,9,10,10,10,9,10,9,10,10,9,11,12,11,11,11,9,11,9
submarine,duikboot,0,0,0,0,0,0,0,0,0,12,10,11,14,10,9,9,10,10,11,9,9,9,9,9,9,9,10,10,9,12
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,13,9,9,9,9,10,9,9,15,8,13,9,17,10,10,12,10,12,11,12
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,10,12,11,12,10,9,10,11,14,14,13,14,12,9,11,9,10,10,8
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,13,9,9,10,12,13,10,10,9,10,9,10,9,9,10,18,9,13
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,9,9,11,15,17,9,9,8,10,10,9,9,13,9
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,11,9,9,9,12,14,12,10,9,9,13,9
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,9,10,10,12,9,10,13,10,10,10,10,9
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,8,11,12,11,10,13,10,11,10,9,9
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,9,10,10,10,9,10,9,14,9,18
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,11,10,10,10,19,15,9,10,10
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,11,11,11,9,9,14,11,11,13
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,11,9,9,9,13,10,12
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,9,9,10,10,9,9,10
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,9,9,10,9,11
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,10,10,10,9
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,12,15,11,9
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,14,9
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,11,9
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
