,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,6,5,8,12,4,11,8,6,8,9,6,5,18,8,8,3,8,12,3,2,4,4,18,8,7,8,9,16,4
boat,boot,0,0,1,2,6,8,5,3,10,7,1,8,12,8,9,3,6,4,3,8,2,2,1,4,2,5,8,10,4,9
scooter,bromfiets,0,0,0,16,6,8,7,3,4,15,5,5,3,8,3,6,2,4,18,2,4,6,3,6,6,6,3,3,3,5
motorbike,brommer,0,0,0,0,8,6,6,3,2,13,5,4,3,6,5,8,2,3,18,1,6,3,6,5,7,4,6,4,5,2
bus,bus,0,0,0,0,0,15,12,5,2,6,3,6,8,7,4,3,2,5,5,11,2,2,6,14,7,12,11,11,14,2
truck,camion,0,0,0,0,0,0,15,13,8,4,6,3,4,9,8,8,3,4,7,4,1,3,2,7,10,6,5,8,19,9
van,camionette,0,0,0,0,0,0,0,13,8,6,4,5,6,15,8,9,6,2,3,6,3,6,1,12,10,5,6,7,13,4
trailer,caravan,0,0,0,0,0,0,0,0,6,8,2,8,4,6,6,2,7,5,2,4,2,3,3,7,7,6,5,4,6,2
submarine,duikboot,0,0,0,0,0,0,0,0,0,1,2,4,8,7,1,3,2,8,3,6,5,2,1,6,2,1,2,6,6,4
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,12,3,2,6,4,3,4,5,15,2,5,9,11,2,4,3,7,2,4,4
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,3,2,4,8,3,1,2,8,1,11,8,7,5,2,2,5,4,5,1
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,11,5,8,11,4,1,1,6,6,7,6,13,6,14
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,15,2,3,5,5,7,1,6,4,2,6,8,6,9
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,6,9,3,3,6,6,10,8,5,11,8,12,1
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,4,2,6,13,2,8,5,5,4,2,9,2
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,6,12,2,7,8,10,6,5,6,2
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,1,3,1,2,4,4,3,12,7,17
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,11,2,12,5,18,16,7,8,1
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,5,3,7,2,7,2,4,2
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,1,1,3,14,6,5
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,2,6,2,4,3,2
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,5,6,3,2,3
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,2,4
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,11,7,3
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,8,2
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,3
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
