,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,8,10,5,8,9,8,3,8,9,8,11,7,18,15,10,7,3,15,8,7,4,4,15,9,5,8,7,13,4
boat,boot,0,0,7,5,4,8,8,7,14,7,4,6,18,5,5,7,6,5,4,5,7,7,7,5,7,1,8,10,2,10
scooter,bromfiets,0,0,0,15,6,7,14,7,7,17,11,6,4,7,8,7,3,7,17,5,2,4,8,6,8,9,6,2,6,5
motorbike,brommer,0,0,0,0,9,7,4,7,6,14,10,9,5,4,9,4,5,6,17,6,8,7,4,8,8,7,10,4,8,2
bus,bus,0,0,0,0,0,10,5,11,9,6,2,7,7,4,7,7,7,12,4,7,6,8,7,9,8,17,12,9,8,7
truck,camion,0,0,0,0,0,0,18,6,5,5,8,6,7,6,10,5,4,9,8,2,6,6,1,8,8,6,9,7,17,7
van,camionette,0,0,0,0,0,0,0,6,4,2,5,6,4,10,12,7,4,8,5,5,7,4,5,8,9,4,10,9,18,6
trailer,caravan,0,0,0,0,0,0,0,0,8,2,8,8,4,8,8,4,8,8,4,5,5,13,5,9,6,7,7,1,7,8
submarine,duikboot,0,0,0,0,0,0,0,0,0,4,3,13,13,2,4,7,15,11,4,15,4,5,7,1,4,5,5,14,2,11
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,13,9,2,4,10,9,4,6,15,8,12,7,13,6,8,9,8,7,4,5
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,1,4,9,9,6,4,7,8,9,12,9,9,4,9,6,7,6,4,6
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,6,17,1,10,10,4,3,8,4,8,6,6,18,4,5
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,15,4,8,15,7,8,4,9,6,7,7,11,7,16
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,6,6,4,4,5,4,6,13,3,3,7,10,2
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,5,6,8,5,16,10,9,13,5,12,2,11,5
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,6,8,13,9,15,10,6,6,5,9,4
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,5,7,4,10,2,4,7,14,4,17
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,3,4,4,4,13,17,6,7,2
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,8,8,4,8,4,5,9,8
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,6,4,3,9,12,7,8
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,7,7,5,3,12,4,4
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,12,9,4,5,5,4
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,4,2,4
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,9,7,4
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,8,6
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,8,10
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,7
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
