,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,8,13,14,15,15,18,12,9,10,11,7,7,18,8,9,2,9,14,8,3,9,6,19,15,11,10,11,15,7
boat,boot,0,0,7,5,11,9,7,10,16,8,5,7,14,9,10,4,5,7,6,8,4,5,2,5,5,7,7,8,5,8
scooter,bromfiets,0,0,0,18,11,4,8,6,4,18,10,9,4,10,8,6,5,8,18,7,10,11,9,9,9,10,7,3,7,10
motorbike,brommer,0,0,0,0,9,12,7,6,6,12,7,6,8,10,5,6,7,7,18,9,8,11,10,9,7,7,8,9,10,3
bus,bus,0,0,0,0,0,17,15,11,8,7,11,5,9,14,7,7,3,14,11,8,8,5,6,13,13,13,12,12,15,7
truck,camion,0,0,0,0,0,0,17,10,7,6,9,4,10,15,12,11,7,12,14,10,6,4,6,11,16,11,7,10,20,7
van,camionette,0,0,0,0,0,0,0,12,4,6,10,5,7,16,10,8,4,10,13,9,4,4,3,14,10,8,10,5,15,8
trailer,caravan,0,0,0,0,0,0,0,0,7,11,5,6,6,8,16,14,6,7,5,6,7,13,11,11,8,11,8,8,9,11
submarine,duikboot,0,0,0,0,0,0,0,0,0,4,5,4,11,5,6,3,5,7,6,12,2,3,2,8,4,7,8,9,6,11
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,14,4,4,7,8,9,3,6,15,5,6,7,11,9,4,4,9,6,3,6
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,4,3,6,11,10,2,5,6,4,12,13,8,6,6,5,7,6,6,4
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,6,9,7,5,11,3,5,5,7,10,8,6,14,8,12
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,7,4,8,12,4,6,5,8,5,8,5,11,7,10
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,8,8,5,4,4,7,15,14,7,6,6,15,4
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,7,3,8,10,13,8,6,10,11,9,7,4
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,6,8,13,5,6,12,7,7,6,9,7
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,5,2,6,5,4,5,11,6,15
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,10,4,13,6,16,17,8,14,7
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,13,8,9,8,8,6,9,9
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,5,9,10,12,14,11,7
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,7,6,6,4,8,6,5
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,3,3,6,6,3,5
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,5,2,5,2
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,11,12,4
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,18,3
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,12,5
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
