,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,4,6,4,4,4,5,8,4,3,7,4,4,4,4,6,4,6,6,4,15,6,6,4,8,5,3,7,6,6
bever,beaver,0,0,8,6,8,9,7,3,7,8,6,12,8,7,5,13,4,7,6,9,8,5,3,6,7,13,3,7,7,7
bizon,bison,0,0,0,8,3,6,9,3,5,6,7,11,4,6,8,5,14,11,4,12,4,8,7,9,13,13,3,8,7,9
dromedaris,dromedary,0,0,0,0,3,3,11,7,2,6,3,6,6,2,7,3,13,4,3,8,6,7,8,7,5,3,2,3,3,9
eekhoorn,squirrel,0,0,0,0,0,13,7,4,16,8,3,3,7,9,3,12,5,7,6,4,3,3,3,4,7,3,3,12,7,4
egel,hedgehog,0,0,0,0,0,0,4,3,12,5,6,6,4,7,2,9,3,3,8,4,3,2,3,4,4,7,3,5,6,3
ezel,donkey,0,0,0,0,0,0,0,4,4,12,9,6,6,6,12,7,14,9,4,4,6,7,14,12,8,8,2,6,9,12
giraf,giraffe,0,0,0,0,0,0,0,0,2,9,4,3,7,4,4,3,7,9,2,6,6,12,6,4,7,3,2,4,3,11
hamster,hamster,0,0,0,0,0,0,0,0,0,6,4,3,4,9,3,12,6,6,9,3,6,3,3,9,8,6,7,12,3,3
hert,deer,0,0,0,0,0,0,0,0,0,0,7,4,4,6,9,6,7,3,3,6,11,7,11,9,7,7,2,7,9,11
hond,dog,0,0,0,0,0,0,0,0,0,0,0,8,5,11,6,11,9,12,6,4,5,6,7,7,8,6,3,14,17,9
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,6,8,7,3,8,8,8,7,8,6,7,2,7,7,12
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,5,4,4,7,6,6,4,4,6,5,3,5,3,6
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,12,4,3,4,4,4,7,15,4,4,9,14,2
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,3,8,14,9,14,9,6,7,2,5,6,15
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,4,4,3,6,11,6,7,2,8,4,4
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,7,6,12,11,5,7,2,4,6,9
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,4,7,8,15,6,2,13,12,8
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,7,5,3,7,4,2
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,7,6,8,9,3,5,4,7
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,2,14,2,5,5,4
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,4,6,2,4,4,12
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,3,8,8,16
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,11,11,6
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,14,8
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,7
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
