,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,5,2,5,4,3,2,9,13,4,3,2,8,2,4,5,5,3,4,2,2,3,7,7,3,7,8,5,4,7
bever,beaver,0,0,3,3,5,6,6,5,8,8,8,4,4,9,4,3,4,3,2,3,6,3,4,5,4,9,3,8,3,4
bizon,bison,0,0,0,11,5,6,10,3,2,5,6,10,3,2,9,3,10,11,2,9,13,11,7,5,4,5,4,2,4,13
dromedaris,dromedary,0,0,0,0,3,2,12,8,7,4,7,3,9,2,6,2,16,6,2,9,12,9,10,10,6,8,5,3,9,12
eekhoorn,squirrel,0,0,0,0,0,9,3,2,8,3,3,5,4,5,4,6,4,5,5,2,2,2,3,3,3,3,7,5,4,3
egel,hedgehog,0,0,0,0,0,0,3,4,5,3,6,8,2,3,3,5,3,2,9,7,3,10,3,3,4,5,3,4,3,4
ezel,donkey,0,0,0,0,0,0,0,12,5,10,4,5,4,2,9,4,14,5,2,15,12,2,18,8,4,9,2,5,5,6
giraf,giraffe,0,0,0,0,0,0,0,0,2,10,3,4,5,2,9,6,12,2,2,6,15,13,15,3,5,11,5,8,3,13
hamster,hamster,0,0,0,0,0,0,0,0,0,5,6,3,7,5,2,14,4,6,18,3,5,3,3,3,4,2,8,3,2,3
hert,deer,0,0,0,0,0,0,0,0,0,0,9,8,10,2,7,4,15,2,2,7,10,3,14,3,7,6,6,5,7,14
hond,dog,0,0,0,0,0,0,0,0,0,0,0,4,3,12,3,10,6,6,3,2,7,4,5,4,8,5,5,13,14,5
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,5,6,1,4,6,8,4,5,10,7,6,8,9,6
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,5,5,2,9,10,6,9,4,8,2,9,3,5,4
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,11,5,3,3,9,2,4,12,4,2,8,9,4
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,8,7,4,9,11,6,4,10,2,6,5,7
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,3,2,5,5,5,3,6,4,3,3
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,13,9,14,16,6,2,5,6,5,12
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,7,9,4,16,5,3,7,10,9
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,2,3,4,4,3,2
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,3,6,2,2,5,2,12
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,7,9,10,3,7,7,13
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,5,3,6,8,11
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,6,6,14
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,5,6,5
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,12,5
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
