,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,5,7,15,8,5,6,12,10,4,10,5,10,7,10,6,10,14,12,8,12,4,11,14,12,7,4,9,7,6
bever,beaver,0,0,7,8,8,8,14,8,12,7,8,8,11,8,6,8,10,8,10,6,8,5,4,9,7,12,9,8,7,4
bizon,bison,0,0,0,12,11,12,7,5,6,9,5,9,7,10,13,11,12,9,5,16,12,14,8,12,10,10,10,6,10,10
dromedaris,dromedary,0,0,0,0,12,5,8,13,6,11,12,6,5,5,10,7,13,9,5,4,12,12,10,12,12,5,4,6,14,12
eekhoorn,squirrel,0,0,0,0,0,14,8,10,14,14,7,9,7,5,8,14,10,5,5,6,7,5,8,10,9,8,7,10,11,5
egel,hedgehog,0,0,0,0,0,0,16,7,9,6,6,8,5,9,6,6,6,8,10,10,8,11,14,8,8,8,11,12,6,3
ezel,donkey,0,0,0,0,0,0,0,10,6,12,12,6,10,5,7,7,8,10,8,7,5,6,14,11,5,5,9,9,8,8
giraf,giraffe,0,0,0,0,0,0,0,0,6,10,6,9,4,6,7,8,11,11,7,8,10,9,10,10,10,7,7,10,14,11
hamster,hamster,0,0,0,0,0,0,0,0,0,6,6,11,9,11,12,13,10,7,18,4,8,3,7,9,5,6,11,4,11,8
hert,deer,0,0,0,0,0,0,0,0,0,0,8,7,11,10,10,10,12,12,8,7,11,14,9,12,7,5,9,11,10,8
hond,dog,0,0,0,0,0,0,0,0,0,0,0,9,4,11,3,10,10,6,11,8,9,10,10,10,10,5,9,10,14,4
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,7,7,12,2,11,12,11,8,3,12,10,8,5,8,12
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,10,12,7,11,10,7,10,12,8,8,6,12,6,8
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,15,6,3,5,7,5,12,15,2,8,13,11,4
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,5,7,12,10,10,15,11,11,8,8,10,9
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,6,11,5,10,5,8,5,12,12,10
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,7,10,12,12,12,9,6,7,7,15,12
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,8,7,12,13,5,12,9,12,12
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,6,4,3,8,15,4,3,5
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,10,13,8,7,7,4,9
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,6,12,11,7,12,9,7
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,8,7,4,10,6
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8,8,8,9,12
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,9,10,12,13
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,9,12,8
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,13
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,7
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
