,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,5,5,4,11,7,5,10,6,5,4,6,3,6,7,6,6,8,8,6,4,8,3,8,6,4,6,7,7,4
bever,beaver,0,0,5,6,6,7,5,2,11,6,7,9,6,5,3,12,3,8,9,8,6,4,7,5,2,6,6,5,8,2
bizon,bison,0,0,0,9,3,5,8,6,2,6,4,6,7,5,14,6,5,11,1,10,8,3,12,6,11,6,3,5,6,9
dromedaris,dromedary,0,0,0,0,9,8,7,8,3,7,2,5,4,6,8,3,9,11,4,8,8,7,8,6,2,2,6,5,4,9
eekhoorn,squirrel,0,0,0,0,0,10,4,1,15,6,6,3,7,8,3,10,8,4,9,8,6,2,7,8,4,8,15,9,8,5
egel,hedgehog,0,0,0,0,0,0,7,4,10,9,8,4,8,10,6,9,5,3,6,8,2,3,4,5,4,7,11,6,5,5
ezel,donkey,0,0,0,0,0,0,0,4,3,6,8,5,7,6,11,4,13,8,7,6,5,6,16,8,6,6,4,4,8,13
giraf,giraffe,0,0,0,0,0,0,0,0,2,9,3,3,8,1,3,5,4,9,1,8,5,11,5,5,12,5,2,7,8,4
hamster,hamster,0,0,0,0,0,0,0,0,0,5,7,1,2,9,3,16,4,2,16,2,3,3,6,10,2,3,10,4,3,4
hert,deer,0,0,0,0,0,0,0,0,0,0,6,8,5,4,14,9,10,6,6,6,6,6,9,8,7,5,6,11,6,5
hond,dog,0,0,0,0,0,0,0,0,0,0,0,9,8,14,5,8,3,9,5,5,5,3,9,9,6,9,5,12,14,5
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,8,1,4,5,11,8,11,6,6,4,4,4,3,4,6
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,9,4,7,6,7,6,4,8,9,3,4,6,4,9
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,9,9,6,4,3,8,3,14,11,10,7,9,6
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,4,9,7,7,12,6,5,11,4,8,7,11
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,6,5,5,2,9,4,5,5,7,8,3
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,7,5,15,8,6,5,3,9,9,12
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,7,5,3,14,3,3,8,10,10
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,2,5,3,5,13,5,4,5
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,7,5,6,9,7,7,6,7
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,6,7,6,7,5,5,6
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,6,1,6,6,4
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,4,8,5,16
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,7,4,5
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,9,8
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,6
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
