,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,1,2,6,4,2,2,3,3,3,3,12,4,2,2,2,2,2,1,2,2,2,1,3,3,1,3,2,3,2
bever,beaver,0,0,3,1,17,4,2,2,8,3,4,2,5,10,3,7,3,5,2,2,10,4,2,4,7,1,4,4,4,2
bizon,bison,0,0,0,7,2,3,10,2,2,12,5,10,6,2,2,2,5,8,1,7,6,12,12,12,6,4,1,3,5,10
dromedaris,dromedary,0,0,0,0,3,1,2,10,2,2,4,4,8,2,3,2,7,7,1,7,7,7,4,3,4,3,1,3,3,2
eekhoorn,squirrel,0,0,0,0,0,3,2,3,17,4,6,3,6,7,2,10,4,3,6,7,2,2,8,6,7,3,3,6,7,3
egel,hedgehog,0,0,0,0,0,0,2,1,5,2,4,3,2,3,2,4,1,2,4,2,2,2,2,2,3,2,2,2,2,2
ezel,donkey,0,0,0,0,0,0,0,7,2,13,12,4,3,8,4,2,11,7,1,3,1,6,19,4,11,5,2,5,4,14
giraf,giraffe,0,0,0,0,0,0,0,0,2,10,2,5,11,2,2,4,13,4,2,2,3,6,6,3,6,2,1,3,3,3
hamster,hamster,0,0,0,0,0,0,0,0,0,3,8,2,3,10,1,14,4,4,17,4,1,1,2,2,8,2,8,10,6,3
hert,deer,0,0,0,0,0,0,0,0,0,0,6,3,10,5,13,3,7,4,2,5,2,4,14,3,12,2,2,4,3,10
hond,dog,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,4,5,14,1,2,4,3,13,5,12,6,1,18,14,8
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,3,6,2,5,5,5,3,3,4,3,2,3,3,6
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,4,1,2,3,1,2,5,3,3,3,3,2,2,6
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,16,4,4,2,2,5,4,16,2,1,14,10,7
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,2,6,6,7,8,4,4,1,2,3,2,10
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,3,2,2,5,7,2,1,4,3,4
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,2,4,13,2,7,3,5,5,10,7
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,5,6,7,16,2,2,12,12,9
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,2,2,9,4,2,1
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,3,2,5,4,2,5,3,3
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,5,8,1,3,3,2
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,2,2,2,2
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,2,3,8,17
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,6,6,4
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,15,14,12
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
