,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,11,9,9,11,7,8,8,10,5,11,11,12,8,11,8,12,9,9,9,9,11,8,4,14,11,11,8,8,11
bever,beaver,0,0,12,8,13,13,10,8,14,12,13,9,12,12,9,13,11,10,12,9,8,9,10,12,12,9,11,13,11,10
bizon,bison,0,0,0,12,7,9,12,12,7,12,11,12,13,9,17,11,15,13,5,14,11,12,12,11,9,11,6,10,11,12
dromedaris,dromedary,0,0,0,0,4,9,15,11,9,12,8,9,13,10,13,9,17,11,8,12,12,11,14,11,8,11,8,8,9,12
eekhoorn,squirrel,0,0,0,0,0,14,11,6,16,12,13,9,11,13,9,13,13,8,14,4,9,5,7,10,7,12,15,12,11,7
egel,hedgehog,0,0,0,0,0,0,9,9,13,12,13,9,9,12,9,13,10,8,14,9,5,8,10,11,4,15,10,11,8,8
ezel,donkey,0,0,0,0,0,0,0,13,9,12,11,11,11,11,17,9,15,9,12,10,12,8,18,13,8,14,12,11,11,17
giraf,giraffe,0,0,0,0,0,0,0,0,7,13,13,10,12,7,12,8,12,12,7,10,10,11,13,8,12,11,13,9,7,14
hamster,hamster,0,0,0,0,0,0,0,0,0,9,10,9,13,12,11,14,10,10,18,7,6,11,6,11,6,12,14,11,10,9
hert,deer,0,0,0,0,0,0,0,0,0,0,12,8,8,11,12,11,12,10,9,10,9,12,13,12,7,11,11,13,13,14
hond,dog,0,0,0,0,0,0,0,0,0,0,0,12,13,14,12,13,11,13,12,9,13,9,13,13,11,12,15,15,13,11
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,11,11,12,9,12,13,10,10,10,12,8,11,11,1,11
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,11,10,10,11,4,11,10,9,9,4,8,11,8,11
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,18,10,10,8,6,11,13,16,11,12,16,13,11
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,11,11,12,13,11,14,11,9,12,11,13,11,13
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,7,8,10,12,12,12,11,13,14,12,9
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,13,10,16,14,11,11,9,11,10,13
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,11,10,10,14,13,7,12,16,11
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,10,12,8,8,12,12,10,8
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,12,9,16,9,8,8,10,12
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,8,10,12,8,8,7,12
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,11,7,8,11,11,13
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,9,12,10,19
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,8,12,8,9
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,8,11,12
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,5
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
