,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,14,9,12,9,8,14,4,4,7,15,9,4,8,7,9,11,10,4,6,11,10,9,9,6,5,12,12,8,8
bever,beaver,0,0,7,19,13,12,11,6,17,8,6,11,8,17,8,11,13,4,12,8,8,9,10,10,4,8,5,14,8,14
bizon,bison,0,0,0,12,5,3,14,14,8,15,9,13,9,5,16,5,14,15,3,14,12,14,13,9,8,7,15,8,11,14
dromedaris,dromedary,0,0,0,0,3,9,12,12,4,9,9,12,11,9,10,4,16,15,3,16,15,11,10,7,8,13,5,8,9,11
eekhoorn,squirrel,0,0,0,0,0,12,4,5,14,4,6,4,7,9,8,11,7,4,15,1,5,5,7,5,8,10,12,8,11,9
egel,hedgehog,0,0,0,0,0,0,6,5,8,4,4,5,6,10,6,12,8,13,8,6,9,5,8,5,4,8,3,8,3,10
ezel,donkey,0,0,0,0,0,0,0,11,3,13,15,7,7,6,15,9,12,11,11,11,8,12,14,13,11,15,5,9,9,12
giraf,giraffe,0,0,0,0,0,0,0,0,3,4,5,12,8,7,8,5,15,12,5,8,10,12,4,11,14,7,5,10,8,10
hamster,hamster,0,0,0,0,0,0,0,0,0,10,7,4,3,9,7,16,8,2,18,5,5,4,5,9,3,5,3,3,2,5
hert,deer,0,0,0,0,0,0,0,0,0,0,11,6,12,7,14,8,16,12,3,9,11,12,12,12,9,15,8,10,6,12
hond,dog,0,0,0,0,0,0,0,0,0,0,0,6,11,16,10,10,12,8,6,4,6,8,4,13,8,12,3,11,9,15
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,5,7,14,9,14,12,15,12,3,15,10,3,6,12,9
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3,10,12,7,12,11,9,9,9,14,8,11,10,5,10
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,10,11,7,7,5,5,11,18,9,10,10,8,3
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12,3,5,12,11,15,10,13,16,9,9,12,14
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,12,6,5,9,7,11,3,8,5,11,4,5
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,11,10,15,11,10,14,4,4,12,14
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,15,12,13,15,14,5,6,14,16,11
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,13,8,11,18,3,2,4
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,13,10,14,4,12,7,12
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,5,13,3,9,12,15
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,10,4,6,6,13
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,15,5,8,12,13
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,11,7,4
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,11,16,12
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,9,11
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
