,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,1,4,2,1,1,5,3,1,2,4,10,3,11,3,1,2,6,1,3,1,2,7,2,4,3,1,4,1,4
bever,beaver,0,0,3,4,11,1,1,2,1,5,5,2,8,6,2,9,1,2,2,6,1,1,4,3,2,3,1,9,1,2
bizon,bison,0,0,0,8,2,1,12,10,1,7,10,4,4,2,17,1,12,8,1,14,15,8,7,8,12,15,1,8,11,11
dromedaris,dromedary,0,0,0,0,2,2,10,11,2,13,6,1,8,8,4,1,17,12,1,3,10,10,15,12,12,8,1,3,2,4
eekhoorn,squirrel,0,0,0,0,0,8,4,1,10,9,5,1,3,12,1,14,2,1,1,1,1,4,3,2,1,1,5,5,1,5
egel,hedgehog,0,0,0,0,0,0,1,1,14,1,1,1,1,1,1,4,1,1,7,1,1,1,1,2,1,1,1,2,1,1
ezel,donkey,0,0,0,0,0,0,0,10,1,14,7,1,2,6,7,6,12,6,1,5,10,9,19,10,9,11,1,10,4,17
giraf,giraffe,0,0,0,0,0,0,0,0,1,10,4,2,3,8,4,6,16,8,1,1,3,8,13,4,3,2,1,4,4,15
hamster,hamster,0,0,0,0,0,0,0,0,0,1,3,1,5,4,1,13,1,1,16,1,1,1,1,4,1,1,1,10,6,2
hert,deer,0,0,0,0,0,0,0,0,0,0,9,6,8,9,14,3,12,12,1,10,3,10,12,11,6,5,1,10,6,10
hond,dog,0,0,0,0,0,0,0,0,0,0,0,1,4,9,3,4,8,6,1,7,7,4,10,7,8,3,1,12,15,4
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,1,10,4,1,6,7,1,1,10,5,1,1,11,2,1
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,10,2,1,4,6,10,11,3,2,1,1,4,4,10
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,14,3,2,6,8,3,7,18,8,1,10,12,5
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,7,16,15,9,10,17,9,10,1,5,4,11
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,1,6,1,10,1,1,4,3,3,4
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,8,1,8,4,14,8,1,8,3,13
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,9,11,9,20,6,1,12,10,10
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,5,1,1,1,1
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,10,11,4,1,5,2,9
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,10,14,1,2,3,8
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,7,1,2,8,6
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8,1,8,8,18
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1,6,5,6
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,12,4
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,9
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
