,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,9,9,8,7,5,8,4,7,8,11,7,7,11,4,9,11,11,7,8,4,8,4,6,10,7,10,7,9,7
bever,beaver,0,0,6,5,11,12,6,4,11,7,4,8,12,10,5,15,5,5,13,5,6,4,6,7,7,6,4,11,7,4
bizon,bison,0,0,0,13,4,4,12,11,4,13,9,8,11,8,14,5,12,11,4,10,8,11,9,11,9,9,4,6,14,8
dromedaris,dromedary,0,0,0,0,5,5,13,11,6,14,10,7,7,9,12,7,14,11,5,11,14,11,13,10,8,5,4,9,9,12
eekhoorn,squirrel,0,0,0,0,0,13,5,5,11,4,9,9,7,11,5,15,5,10,13,7,4,4,7,9,5,8,10,13,8,7
egel,hedgehog,0,0,0,0,0,0,7,5,12,10,5,6,6,10,3,12,5,4,12,5,4,4,4,5,5,9,11,11,7,7
ezel,donkey,0,0,0,0,0,0,0,10,6,13,9,9,9,10,13,7,13,10,9,12,8,10,16,11,11,6,6,6,11,14
giraf,giraffe,0,0,0,0,0,0,0,0,5,9,8,8,7,4,9,7,10,10,2,11,12,8,9,6,10,5,6,7,7,11
hamster,hamster,0,0,0,0,0,0,0,0,0,6,5,8,9,8,2,12,4,8,18,5,4,5,4,5,6,8,11,6,5,4
hert,deer,0,0,0,0,0,0,0,0,0,0,11,9,10,8,12,5,11,8,4,9,7,9,11,12,8,7,5,9,11,13
hond,dog,0,0,0,0,0,0,0,0,0,0,0,8,8,11,7,9,11,12,11,7,4,5,10,7,11,10,5,15,15,8
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,8,8,9,8,10,8,6,7,14,7,8,5,10,8,7
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,6,10,8,11,6,5,8,10,8,7,4,10,9,10
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,17,8,4,6,3,8,5,15,8,8,14,10,8
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,6,12,14,6,11,9,9,11,7,8,11,13
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,5,8,4,5,12,8,10,8,8,13,5
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,12,8,7,11,12,10,7,4,11,11,11
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,10,11,13,17,8,4,10,14,12
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,9,7,7,6,9,7,8,7
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,12,11,8,6,4,8,8,10
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,7,9,7,7,5,9,8
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,9,5,5,7,11
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,5,6,9,11,14
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,5,10,11,12
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,12,10
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,5
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
