,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,14,15,14,14,15,14,15,14,15,15,15,16,14,15,15,13,14,15,15,15,14,14,15,15,15,14,16,15,16
bever,beaver,0,0,15,15,15,15,15,15,16,15,15,15,15,16,15,15,15,14,15,14,15,14,15,15,15,15,14,15,14,14
bizon,bison,0,0,0,16,14,14,14,14,13,16,16,16,15,15,17,14,16,16,14,16,17,16,17,11,16,16,14,16,16,16
dromedaris,dromedary,0,0,0,0,14,14,16,16,13,16,14,14,15,14,17,14,17,15,14,15,16,16,17,16,15,15,14,14,15,16
eekhoorn,squirrel,0,0,0,0,0,15,14,15,15,16,15,14,14,15,15,16,14,14,14,15,14,14,15,13,14,14,15,15,15,15
egel,hedgehog,0,0,0,0,0,0,14,14,14,14,13,14,14,15,14,16,13,14,15,14,14,14,14,14,14,14,14,14,14,14
ezel,donkey,0,0,0,0,0,0,0,16,14,17,16,14,15,14,16,14,16,16,13,16,16,15,17,15,15,15,14,16,15,16
giraf,giraffe,0,0,0,0,0,0,0,0,14,16,14,14,15,14,16,14,17,15,14,16,15,16,16,15,15,14,14,15,15,16
hamster,hamster,0,0,0,0,0,0,0,0,0,15,15,14,14,14,12,16,14,14,17,13,14,14,14,14,14,14,15,14,14,15
hert,deer,0,0,0,0,0,0,0,0,0,0,15,15,14,15,17,15,16,15,13,14,15,14,16,16,15,16,14,16,16,16
hond,dog,0,0,0,0,0,0,0,0,0,0,0,16,17,17,15,15,16,16,14,14,14,15,16,16,16,16,16,16,17,16
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,15,14,13,14,14,14,14,14,13,15,16,16,14,16,14,14,15,14
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,15,15,15,15,15,12,16,16,15,15,14,15,12,14
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,14,16,14,15,14,14,15,16,17,16,15,16,16,14
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,16,12,16,16,16,17,16,15,16,15,14,15,17
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,14,13,14,13,15,14,14,14,15,14,13
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,15,16,17,17,16,15,13,15,15,16
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,15,16,15,17,15,14,16,17,16
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,13,14,14,14,14,14,14,14
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,16,15,16,18,14,15,14,16
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,14,15,18,15,14,15,17
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,16,16,13,15,14,16
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,14,16,16,17
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,14,15,15,14
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,15,16,16
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,14
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
