,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,2,2,2,2,2,2,4,2,2,7,2,8,8,12,2,4,4,4,3,2,6,2,2,2,2,2,2,2,2
bever,beaver,0,0,2,2,2,2,2,2,4,2,2,2,2,6,2,4,2,2,2,2,2,2,2,2,8,3,2,2,2,3
bizon,bison,0,0,0,2,2,2,2,6,2,3,2,5,2,2,13,2,3,4,2,7,14,8,2,3,3,2,3,8,12,6
dromedaris,dromedary,0,0,0,0,9,10,10,8,2,2,3,2,2,3,2,2,15,3,2,2,9,2,15,2,4,2,2,2,5,2
eekhoorn,squirrel,0,0,0,0,0,11,3,2,7,2,2,2,2,6,2,13,10,2,5,2,2,9,2,7,7,10,4,12,2,2
egel,hedgehog,0,0,0,0,0,0,2,2,3,2,2,2,17,2,9,4,2,2,3,4,3,3,2,2,2,3,2,2,2,2
ezel,donkey,0,0,0,0,0,0,0,3,2,2,4,2,8,2,20,10,6,3,2,2,2,2,19,8,2,3,2,2,2,2
giraf,giraffe,0,0,0,0,0,0,0,0,2,2,6,2,2,2,11,2,9,3,2,13,8,6,15,2,2,11,1,2,2,6
hamster,hamster,0,0,0,0,0,0,0,0,0,2,8,2,2,4,2,13,5,2,15,2,2,2,2,3,2,10,2,2,2,2
hert,deer,0,0,0,0,0,0,0,0,0,0,2,2,2,5,3,4,8,2,2,2,2,2,5,2,9,2,2,2,2,12
hond,dog,0,0,0,0,0,0,0,0,0,0,0,2,2,18,2,13,4,2,4,2,2,2,2,6,3,5,2,12,16,2
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,8,2,4,3,8,2,4,2,2,2,2,4,1,3
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2,2,7,3,2,2,2,2,2,2,3,16,2
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,12,13,2,2,2,4,6,16,3,2,11,16,4
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,4,15,12,9,5,2,4,2,2,2,10
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,2,2,2,5,7,2,13,2,5,3,2
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,2,2,14,16,9,3,2,2,2,2
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,3,3,2,15,2,2,2,5,7
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,2,13,6,10
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,2,4,2,2,2,2,10
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,5,2,2,2,2,5
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,13,3,2,2,13,5
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,9,2,18
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,2,3,2
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,12
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
