,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,6,9,9,5,6,9,8,8,8,5,8,10,5,8,7,7,12,6,10,5,8,7,4,9,8,8,9,5,8
bever,beaver,0,0,6,6,9,13,5,5,17,8,6,5,7,10,8,13,8,4,12,5,5,4,5,9,4,9,8,7,5,8
bizon,bison,0,0,0,12,4,4,10,10,3,12,8,12,9,5,14,5,12,13,2,16,15,13,14,6,16,11,5,7,12,12
dromedaris,dromedary,0,0,0,0,4,4,12,12,4,12,6,9,10,6,6,5,19,11,4,12,13,11,13,4,9,8,4,9,9,15
eekhoorn,squirrel,0,0,0,0,0,11,7,4,13,5,6,5,6,12,6,12,8,5,11,4,5,4,7,8,4,8,8,6,8,5
egel,hedgehog,0,0,0,0,0,0,12,6,12,6,8,3,8,12,8,13,5,8,12,6,4,3,7,10,4,8,8,5,7,7
ezel,donkey,0,0,0,0,0,0,0,11,7,11,10,7,7,8,8,10,13,11,9,9,10,10,19,6,13,9,7,8,8,8
giraf,giraffe,0,0,0,0,0,0,0,0,8,13,4,11,8,4,8,8,14,11,8,12,13,12,13,7,11,7,5,8,11,12
hamster,hamster,0,0,0,0,0,0,0,0,0,8,8,5,8,10,9,17,6,7,15,4,5,6,7,8,6,8,9,5,5,4
hert,deer,0,0,0,0,0,0,0,0,0,0,9,12,14,9,9,9,10,8,6,10,11,8,15,10,9,8,8,12,11,6
hond,dog,0,0,0,0,0,0,0,0,0,0,0,4,4,16,4,14,13,14,8,5,11,10,16,12,13,13,6,16,15,12
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,11,10,5,3,6,10,2,12,14,13,13,8,12,10,5,13,11,13
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,10,8,3,8,11,10,9,5,8,8,7,5,6,9
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,13,11,4,3,5,13,10,16,12,7,14,15,11
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,5,12,9,10,14,10,8,8,4,7,10,10
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,5,6,6,11,11,6,14,8,8,9,7
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,9,12,15,9,10,7,4,11,9,13
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14,13,10,8,19,11,6,14,13,12
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,12,5,6,14,5,8,6
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,14,6,14,8,2,9,8,12
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,8,14,9,4,8,9,11
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,8,7,6,9,8,11
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,7,9,11,18
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,7,8,11
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,14,9
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,6
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
