,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,4,5,2,3,5,4,2,2,5,4,8,4,3,4,4,2,2,2,2,6,2,5,2,4,4,4,7,2,6
bever,beaver,0,0,8,5,5,6,2,5,8,8,5,8,5,3,6,16,6,7,2,5,5,5,8,3,4,11,5,6,10,9
bizon,bison,0,0,0,8,2,8,4,7,2,5,5,4,6,3,14,4,9,13,2,15,15,14,6,7,9,10,1,2,8,8
dromedaris,dromedary,0,0,0,0,3,9,13,14,4,12,8,4,11,4,10,5,14,5,5,9,4,5,14,7,4,5,5,7,6,6
eekhoorn,squirrel,0,0,0,0,0,4,6,5,13,6,4,7,5,3,4,11,2,4,15,4,10,4,7,4,4,3,6,3,3,8
egel,hedgehog,0,0,0,0,0,0,5,2,9,4,3,5,5,4,4,12,4,2,15,5,4,2,3,3,2,6,4,7,2,2
ezel,donkey,0,0,0,0,0,0,0,9,4,8,3,5,5,5,12,4,12,3,5,10,4,10,18,6,3,11,2,4,6,14
giraf,giraffe,0,0,0,0,0,0,0,0,4,7,4,6,8,5,9,5,15,4,3,3,7,7,8,10,4,4,4,6,3,6
hamster,hamster,0,0,0,0,0,0,0,0,0,6,4,1,7,9,4,17,4,1,2,2,5,2,4,7,11,5,4,7,5,4
hert,deer,0,0,0,0,0,0,0,0,0,0,13,6,9,13,9,8,10,4,2,9,7,3,7,5,5,5,4,8,7,15
hond,dog,0,0,0,0,0,0,0,0,0,0,0,10,4,5,5,5,7,5,3,5,6,5,4,8,7,4,2,17,14,5
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,7,13,2,4,4,4,5,2,7,4,2,4,10,4
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,10,6,2,8,5,9,7,3,6,5,3,4,11,7
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,4,6,5,5,7,4,4,11,5,3,7,5,5
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,6,3,7,10,13,5,7,7,9,4,8,7,9
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,3,3,4,4,7,4,7,3,4,4,8
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,6,10,7,15,12,8,4,10,12,15
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,11,4,6,6,18,5,2,4,16,3
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,4,2,3,4,3,2,2
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,8,5,7,8,2,7,14,8
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,6,14,5,2,7,8,13
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,5,3,3,4,11
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,18
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,8,10,8
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,7,3
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,3
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
