,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,14,14,9,11,13,10,10,9,10,13,9,9,10,9,9,9,12,12,11,10,12,9,9,10,9,9,9,10,12
ajuin,onions,0,0,11,9,11,13,13,10,10,11,9,9,10,12,9,10,11,17,13,11,10,14,13,10,10,11,10,12,12,12
asperges,asparagus,0,0,0,10,11,12,9,10,9,10,9,9,9,9,8,10,9,14,12,9,13,13,9,9,10,9,9,11,10,13
aubergine,eggplant,0,0,0,0,13,11,10,10,9,16,9,10,15,9,8,12,9,10,10,11,10,9,10,9,11,11,9,9,10,9
augurken,gherkins,0,0,0,0,0,10,9,11,9,15,11,10,16,11,9,12,9,9,11,9,10,9,9,10,10,11,10,9,11,11
biet,beet,0,0,0,0,0,0,11,9,9,12,9,9,11,12,11,10,9,14,15,10,10,11,9,9,9,9,8,11,10,16
bloemkool,cauliflower,0,0,0,0,0,0,0,9,9,10,11,9,10,13,10,9,9,11,11,17,11,11,13,10,14,9,9,8,17,10
bonen,beans,0,0,0,0,0,0,0,0,9,13,12,10,11,9,11,13,9,10,9,10,9,9,9,9,10,14,11,9,11,11
champignons,mushrooms,0,0,0,0,0,0,0,0,0,9,8,9,9,8,8,10,11,8,9,9,7,8,9,9,9,11,9,9,9,9
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,11,10,18,10,10,11,9,12,10,10,10,10,9,9,11,10,10,10,9,12
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,10,11,10,12,10,10,9,9,9,9,9,8,10,13,12,10,10,9,12
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,9,15,11,11,9,9,9,12,13,9,10,14,10,9,10
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,10,10,10,11,8,12,14,12,11,11,11,10,9,10
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,11,13,10,10,9,10,9,9,13,7,10,10,9
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,9,10,9,8,9,10,9,10,9,9,11,10
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,11,9,9,10,9,9,14,10,10,10,9
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,9,10,12,14,9,9,15,11,9,12
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,12,10,10,9,9,9,10,11,15
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,11,9,9,10,12,11,10,12
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,10,15,10,9,12,18,10
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,12,9,9,9,11,10
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9,9,13,10,10
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,10,13,12,12,9
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,12,9,9,10
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,16,10
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,10
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
