,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,11,11,11,10,15,12,15,7,11,5,1,14,2,14,5,2,7,14,6,11,9,2,8,5,9,6,8,11,14
ajuin,onions,0,0,5,9,4,12,11,11,11,11,5,4,11,13,5,4,4,17,6,8,10,14,4,9,12,8,3,13,6,13
asperges,asparagus,0,0,0,9,6,12,11,7,11,12,8,3,6,8,8,7,13,10,11,4,15,14,7,11,14,5,4,14,11,16
aubergine,eggplant,0,0,0,0,14,11,11,12,4,17,2,2,17,9,3,13,2,11,12,8,8,13,8,9,11,5,3,9,14,11
augurken,gherkins,0,0,0,0,0,16,9,9,10,17,11,8,17,5,8,5,4,7,15,12,12,9,12,7,15,5,7,5,10,13
biet,beet,0,0,0,0,0,0,12,13,6,12,16,6,10,8,15,10,1,11,17,16,16,10,5,3,15,8,2,3,13,16
bloemkool,cauliflower,0,0,0,0,0,0,0,13,9,12,14,10,13,3,13,8,5,16,12,15,11,11,10,14,17,10,8,11,16,11
bonen,beans,0,0,0,0,0,0,0,0,11,13,17,4,4,5,15,9,6,5,10,12,12,9,4,3,13,9,3,3,15,6
champignons,mushrooms,0,0,0,0,0,0,0,0,0,4,14,2,5,9,3,11,9,4,11,6,7,4,6,2,10,9,1,8,14,3
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,9,6,19,8,9,10,3,9,12,10,11,13,4,6,11,11,6,11,6,14
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,9,8,3,16,2,4,11,10,4,9,5,14,6,17,9,14,4,11,12
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,5,17,4,5,9,2,12,17,15,6,5,18,12,6,3
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,6,14,11,4,11,14,14,4,8,14,8,12,6,11
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,15,3,11,9,8,9,5,13,5,3,14,13,5
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,8,9,11,5,3,3,12,3,11,5,15,11
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,7,8,8,8,6,2,11,2,11,3,11
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,8,12,11,15,4,3,18,3,6,4
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,14,12,9,13,9,8,16,16,12
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,11,5,7,14,10,11,9,9,16
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,14,15,12,3,14,17,16
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,14,11,8,12,15,17
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,13,9,12,13,13,6
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,8,16,15,15,4
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,10,5,12,8
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,13,16,13
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,2
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
