,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,14,6,9,9,11,10,6,4,6,5,6,12,4,8,9,6,8,6,5,7,5,6,3,4,7,6,7,12,6
ajuin,onions,0,0,6,4,7,9,8,6,7,4,7,4,6,16,6,4,11,15,8,6,6,5,4,4,7,7,6,6,7,6
asperges,asparagus,0,0,0,5,4,5,4,9,3,6,6,6,6,7,4,4,8,6,5,7,13,6,4,6,5,6,5,7,6,7
aubergine,eggplant,0,0,0,0,9,13,5,7,4,7,4,5,6,6,8,10,4,7,7,6,6,4,4,5,5,1,5,6,4,5
augurken,gherkins,0,0,0,0,0,7,5,12,3,14,7,6,15,6,4,6,11,5,8,6,8,6,6,4,8,5,6,5,5,6
biet,beet,0,0,0,0,0,0,6,4,4,7,12,7,5,4,10,9,6,10,11,9,5,6,6,5,5,8,5,6,8,9
bloemkool,cauliflower,0,0,0,0,0,0,0,6,5,5,7,5,7,5,5,5,5,8,6,9,13,8,7,5,9,7,5,6,16,5
bonen,beans,0,0,0,0,0,0,0,0,5,7,13,5,9,8,5,6,6,6,6,5,6,5,7,5,6,7,4,6,4,6
champignons,mushrooms,0,0,0,0,0,0,0,0,0,4,4,4,4,6,5,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,7,5,15,3,5,5,6,7,6,6,6,7,6,7,5,6,6,8,5,6
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,5,8,3,10,5,5,5,5,5,5,5,4,7,9,4,8,5,7,14
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,4,10,5,9,6,5,12,6,5,4,4,6,7,6,5
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,5,6,3,7,5,7,8,6,6,6,5,6,7,7
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,14,6,4,5,4,5,6,4,6,5,6,4
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,4,5,6,4,6,3,6,5,4,16,6,7
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,4,6,5,4,6,16,6,4,6,7
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,5,15,8,8,6,5,7,6,4,9
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,12,15,10,7,5,5,6,7,6,8
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,7,5,12,6,9,13,7,12
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,4,8,5,6,14,12,7
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,4,4,4,6,7,4
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,3,11,6,4,12
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,6,10,8,15,7
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,5,6,6
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,8,6
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,5,5
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,7
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
