,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,15,8,9,8,9,3,15,13,6,13,12,6,11,6,8,11,14,12,4,7,15,12,6,7,5,4,9,11,6
ajuin,onions,0,0,7,12,11,5,8,8,12,6,11,14,4,16,9,8,17,5,7,7,16,15,7,8,8,7,7,6,11,12
asperges,asparagus,0,0,0,15,13,10,7,12,10,11,15,12,6,11,13,12,7,15,11,7,5,11,9,4,18,9,6,8,13,6
aubergine,eggplant,0,0,0,0,8,5,5,12,7,11,14,15,9,12,8,11,8,5,9,8,16,9,12,11,13,13,16,7,14,8
augurken,gherkins,0,0,0,0,0,6,5,12,8,11,16,16,13,6,5,12,14,12,6,5,11,11,11,7,10,9,4,6,13,11
biet,beet,0,0,0,0,0,0,13,4,6,7,5,6,5,5,17,14,6,9,7,16,9,6,13,3,3,6,17,15,8,9
bloemkool,cauliflower,0,0,0,0,0,0,0,12,6,8,4,10,6,5,5,14,4,4,6,4,4,7,12,6,5,6,6,6,11,9
bonen,beans,0,0,0,0,0,0,0,0,8,9,9,12,8,7,6,11,6,12,7,9,6,10,16,13,5,13,6,5,11,6
champignons,mushrooms,0,0,0,0,0,0,0,0,0,6,9,12,5,16,8,8,9,9,6,8,10,13,11,14,12,12,8,7,12,6
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,14,12,15,5,5,5,14,16,6,5,8,6,6,4,11,7,3,6,7,5
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,17,13,7,6,5,14,14,9,6,6,13,6,6,13,9,5,10,14,7
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,8,9,11,5,5,13,14,13,6,6,11,5,11,12,13
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,9,17,8,4,9,10,7,5,6,6,5,6,6,7
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,7,5,5,13,7,13,18,13,13,17,9,16,6
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,10,7,17,12,10,8,5,8,16,14,13,5,11
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,6,7,8,12,8,6,11,6,9,7,6,11
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,12,13,3,4,12,5,9,6,12,6
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,12,14,7,10,9,8,6,4,7
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,7,9,4,6,13,8,9,5,14
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,6,4,4,4,13,14,6,4
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,13,16,12,12,14,12
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,12,12,7,7,13,7
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,15,7,8,9
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,7,13,4
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,11,6
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,8
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,12
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
