,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,15,15,14,15,15,15,17,15,15,16,14,15,15,15,15,15,15,15,15,15,16,15,15,15,15,14,15,15,15
ajuin,onions,0,0,16,15,16,16,15,16,16,16,16,16,16,19,16,16,15,16,15,15,15,16,15,16,16,15,15,15,15,16
asperges,asparagus,0,0,0,14,15,15,15,15,16,14,16,14,16,16,15,15,15,16,15,15,19,15,15,14,15,15,15,15,15,15
aubergine,eggplant,0,0,0,0,16,15,14,15,14,18,15,16,17,16,16,15,15,14,15,15,15,15,15,15,16,15,15,15,14,16
augurken,gherkins,0,0,0,0,0,15,15,15,15,15,15,16,19,16,15,16,14,17,15,14,15,15,16,14,15,15,16,15,14,15
biet,beet,0,0,0,0,0,0,15,15,15,15,14,16,15,15,16,15,15,14,18,18,16,15,16,16,14,16,17,16,14,15
bloemkool,cauliflower,0,0,0,0,0,0,0,14,15,15,14,15,15,15,15,15,15,16,15,17,15,15,15,15,15,14,15,16,17,15
bonen,beans,0,0,0,0,0,0,0,0,16,14,18,15,15,17,18,16,15,16,15,15,15,14,15,15,18,15,14,15,15,15
champignons,mushrooms,0,0,0,0,0,0,0,0,0,14,15,15,16,15,16,16,16,15,15,14,16,14,15,16,16,16,16,16,16,15
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,14,15,18,16,16,16,16,15,14,14,14,14,15,15,15,16,16,15,15,15
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,16,16,15,17,15,14,16,15,15,14,15,16,16,17,15,15,16,15,16
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,16,16,14,16,18,16,17,15,15,17,17,17,16,15,18,15,13,16
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,15,14,17,17,15,15,16,17,17,16,16,16,16,15,16
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,16,15,14,14,15,16,15,16,16,16,15,15,15
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,16,14,16,14,15,15,16,15,15,15,15,16
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,16,15,14,16,16,15,16,16,15,15,15
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,15,15,16,17,17,15,14,17,14,14,15
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,16,15,16,15,15,15,16,15,17
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,16,15,15,16,17,16,15,16
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,16,16,15,14,14,18,14
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,15,15,15,15,14,15
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,15,16,16,15,14,16
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,17,17,16,15,16
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,15,16,15
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,15,14,16
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
