,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,9,5,3,4,10,13,3,4,6,4,5,7,7,5,12,4,3,8,2,4,5,5,4,6,7,3,5,5,3
ajuin,onions,0,0,5,4,7,14,10,4,5,5,6,3,3,9,5,4,4,11,10,3,4,4,3,2,4,7,7,11,10,4
asperges,asparagus,0,0,0,5,9,3,8,6,3,3,3,2,6,1,3,3,1,8,4,1,20,3,3,4,4,2,4,7,8,14
aubergine,eggplant,0,0,0,0,4,7,3,4,3,16,1,4,14,1,3,9,4,9,4,3,4,6,6,3,2,4,3,6,7,3
augurken,gherkins,0,0,0,0,0,2,3,12,3,6,4,4,9,1,3,3,4,5,4,3,7,8,8,7,8,3,4,4,3,6
biet,beet,0,0,0,0,0,0,11,4,2,4,1,1,6,1,6,7,3,8,14,7,3,9,1,3,3,3,6,6,14,10
bloemkool,cauliflower,0,0,0,0,0,0,0,7,3,4,4,2,4,1,3,4,4,12,1,15,11,6,10,6,8,2,3,13,15,2
bonen,beans,0,0,0,0,0,0,0,0,3,11,15,2,7,1,4,5,9,14,3,5,9,3,6,11,12,4,4,4,5,4
champignons,mushrooms,0,0,0,0,0,0,0,0,0,3,1,3,4,2,2,3,2,3,9,3,3,3,2,2,4,3,5,3,3,4
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,3,4,16,2,5,12,12,9,3,4,4,10,8,4,6,4,4,10,3,3
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,9,7,1,16,1,7,4,10,1,7,5,6,9,9,6,8,1,2,11
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,6,15,16,6,7,4,14,10,14,8,4,10,3,6,8
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,9,9,10,3,6,6,7,5,6,5,5,11,4,10
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,12,2,2,1
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,6,2,4,4,5,3,3,4,4,4,2,2
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,6,2,10,5,6,4,10,6,4,3,6
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,4,6,16,10,10,6,8,10,3,4,6
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,15,10,8,10,4,6,6,7,3
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,4,5,9,15,17,2,6,10
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,10,2,8,6,5,16,5
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,3,2,7,4,5
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,3,11,3,6,8
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5,7,3,4,5
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,3,4,3
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,10,3
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,6
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
