,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,1,4,1,1,1,1,1,2,1,1,1,1,1,1,2,15,2,13,1,1,1,1
dolphin,dolfijn,0,0,1,1,3,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,15,1,4
trout,forel,0,0,0,1,1,5,1,15,3,11,4,1,4,2,1,1,10,2,2,8,1,9,1
goldfish,goudvis,0,0,0,0,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1
shark,haai,0,0,0,0,0,1,1,1,1,13,1,2,1,1,1,1,1,2,1,1,5,1,5
herring,haring,0,0,0,0,0,0,1,1,10,1,2,1,1,3,1,1,3,2,2,1,1,10,1
squid,inktvis,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cod,kabeljauw,0,0,0,0,0,0,0,0,2,1,2,1,5,4,1,1,1,1,2,5,1,1,1
carp,karper,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,8,1,1,1,1,2
orca,orka,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1,1,1,1,1,18,1,5
eel,paling,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,1,1,2,1,2,1,3,1
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,2,1
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,2,1,1,1,1,4,1
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,15,1,1,2
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,15,1,5
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,3,1
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2,1
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
