,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,3,15,2,8,16,5,15,9,3,17,-1,15,17,2,14,14,16,16,10,7,10,4
dolphin,dolfijn,0,0,8,1,16,2,5,1,13,3,7,-1,8,1,3,4,1,3,1,1,10,1,5
trout,forel,0,0,0,2,5,6,8,8,10,3,15,-1,15,12,5,15,6,5,12,17,13,10,4
goldfish,goudvis,0,0,0,0,1,2,1,1,3,1,1,-1,2,1,2,2,1,1,1,1,4,2,1
shark,haai,0,0,0,0,0,6,4,5,7,15,3,-1,3,3,15,1,2,14,9,2,15,3,12
herring,haring,0,0,0,0,0,0,5,12,9,3,18,-1,7,10,2,13,12,14,12,14,4,13,6
squid,inktvis,0,0,0,0,0,0,0,6,4,3,4,-1,15,4,10,5,12,15,4,8,5,3,6
cod,kabeljauw,0,0,0,0,0,0,0,0,6,4,16,-1,15,5,2,12,15,15,12,12,5,15,13
carp,karper,0,0,0,0,0,0,0,0,0,8,15,-1,11,6,8,-1,10,16,15,3,13,10,14
orca,orka,0,0,0,0,0,0,0,0,0,0,3,-1,1,4,18,3,1,11,5,2,12,1,8
eel,paling,0,0,0,0,0,0,0,0,0,0,0,-1,18,17,15,16,14,15,5,16,6,5,4
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,16,5,17,9,16,5,3,4
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,14,6,13,15,1,3,9
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,8,1,6,16,3,9
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,15,2,9,6
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,3,16,5
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,6,5,8
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,10
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
