,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,3,3,14,2,4,4,3,9,2,2,12,11,3,3,11,17,2,6,4,3,3,2
dolphin,dolfijn,0,0,12,4,2,12,2,3,2,14,4,2,2,2,8,4,3,6,3,2,17,3,9
trout,forel,0,0,0,11,3,12,2,10,10,2,11,4,18,5,10,19,8,13,8,5,2,4,2
goldfish,goudvis,0,0,0,0,2,12,11,9,4,10,2,2,4,2,2,2,15,3,11,3,9,4,2
shark,haai,0,0,0,0,0,2,3,3,3,9,2,2,5,3,2,2,2,2,3,3,2,2,3
herring,haring,0,0,0,0,0,0,2,12,15,13,3,3,13,3,3,6,15,10,17,4,3,6,2
squid,inktvis,0,0,0,0,0,0,0,3,11,2,2,2,13,2,9,3,5,3,2,2,9,2,2
cod,kabeljauw,0,0,0,0,0,0,0,0,12,2,2,3,4,5,2,8,4,11,8,3,3,12,4
carp,karper,0,0,0,0,0,0,0,0,0,2,3,12,3,2,10,3,4,12,13,13,3,12,4
orca,orka,0,0,0,0,0,0,0,0,0,0,3,2,3,9,14,2,3,2,3,2,19,12,6
eel,paling,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,9,6,3,2,2,2,2,3
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,11,6,9,5,3
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,8,4,3,11,20,3,3,5
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,3,3,17,3,4,4
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,2,3,17,3,4
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,4,3,3,3
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,2,4,2
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,3,15
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,12,5
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
