,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,3,3,13,2,12,1,5,3,2,12,4,10,4,3,7,17,4,6,13,2,6,2
dolphin,dolfijn,0,0,4,2,16,4,3,3,5,16,6,3,2,4,7,2,4,5,10,7,13,6,13
trout,forel,0,0,0,8,9,17,2,18,19,10,11,13,10,5,1,4,13,15,17,10,4,17,7
goldfish,goudvis,0,0,0,0,8,6,3,4,10,5,15,5,6,5,2,2,10,12,4,9,11,6,3
shark,haai,0,0,0,0,0,3,1,11,12,16,8,13,5,5,9,4,16,9,9,8,14,13,14
herring,haring,0,0,0,0,0,0,2,10,15,6,12,2,4,6,4,5,16,15,14,13,4,16,4
squid,inktvis,0,0,0,0,0,0,0,2,2,2,2,2,2,7,3,2,4,2,5,2,5,1,9
cod,kabeljauw,0,0,0,0,0,0,0,0,18,4,6,14,3,7,13,4,11,14,16,14,4,5,5
carp,karper,0,0,0,0,0,0,0,0,0,6,6,4,2,8,2,8,7,18,17,18,7,15,8
orca,orka,0,0,0,0,0,0,0,0,0,0,2,15,6,12,18,4,2,5,6,8,15,7,18
eel,paling,0,0,0,0,0,0,0,0,0,0,0,8,5,2,7,4,8,5,9,5,4,13,4
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,3,4,4,16,3,2,9,13
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,19,11,11,5,4,5,6,7
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,3,4,7,4,4,10,4
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,6,6,19,4,15
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,4,4,4,5
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5,4,16,4
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,5,13,5
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,11,12
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
