,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,6,13,12,3,5,3,10,15,4,6,6,10,9,3,10,15,9,4,14,6,9,2
dolphin,dolfijn,0,0,6,6,15,6,2,5,9,18,10,3,6,10,16,7,3,12,10,6,15,10,9
trout,forel,0,0,0,6,9,12,2,14,10,4,18,3,15,14,3,18,6,16,13,15,3,18,10
goldfish,goudvis,0,0,0,0,3,7,2,10,14,4,6,10,6,8,2,4,12,15,15,6,10,3,2
shark,haai,0,0,0,0,0,6,2,15,2,18,6,3,6,14,15,12,2,15,6,3,15,3,18
herring,haring,0,0,0,0,0,0,2,15,15,6,16,2,15,16,4,15,9,10,10,15,6,18,15
squid,inktvis,0,0,0,0,0,0,0,2,2,2,6,2,2,2,4,2,1,1,2,2,2,5,2
cod,kabeljauw,0,0,0,0,0,0,0,0,15,8,15,3,15,15,6,6,15,10,15,6,10,18,6
carp,karper,0,0,0,0,0,0,0,0,0,5,15,10,3,10,6,6,12,12,10,4,2,16,8
orca,orka,0,0,0,0,0,0,0,0,0,0,4,2,2,3,18,2,6,7,3,3,18,6,15
eel,paling,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,10,15,6,15,15,6,15,2
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,10,4,5,3,14,3,1
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,6,12,12,3,6,3,16,6
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,6,13,15,6,10,14
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,13,5,18,6,12
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,14,11,16,8
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,9,4,5,1
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,6,4,6
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,10
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,15
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
