,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,2,4,7,3,8,2,5,12,2,8,8,12,9,3,4,18,7,7,6,3,8,6
dolphin,dolfijn,0,0,4,2,12,3,2,3,3,14,2,3,6,3,5,3,5,3,6,3,13,3,7
trout,forel,0,0,0,6,4,15,3,16,15,7,8,13,10,15,8,9,7,17,13,12,2,10,12
goldfish,goudvis,0,0,0,0,3,7,3,7,8,2,3,6,7,7,5,6,6,8,7,3,1,5,3
shark,haai,0,0,0,0,0,5,6,4,6,11,1,2,6,3,5,6,3,6,3,4,13,3,2
herring,haring,0,0,0,0,0,0,4,17,13,12,8,10,13,10,8,10,7,16,17,12,6,12,10
squid,inktvis,0,0,0,0,0,0,0,5,3,7,3,3,5,6,15,2,2,6,3,3,4,5,2
cod,kabeljauw,0,0,0,0,0,0,0,0,16,3,6,8,10,8,5,12,7,16,14,11,2,12,6
carp,karper,0,0,0,0,0,0,0,0,0,7,8,13,12,11,9,10,7,14,12,12,2,12,8
orca,orka,0,0,0,0,0,0,0,0,0,0,4,4,4,6,4,3,2,3,3,5,18,5,5
eel,paling,0,0,0,0,0,0,0,0,0,0,0,6,5,4,6,8,6,11,6,5,2,13,7
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,6,15,10,9,6,15,11,9,3,5,6
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,7,9,10,13,11,2,8,9
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,7,13,13,11,3,8,14
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,10,10,7,8,9
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,7,5,16,9
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,2,6,8
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,7,13,11
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,15
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
