,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,8,12,13,15,8,5,11,13,9,7,13,14,13,11,9,20,11,13,15,6,16,14
dolphin,dolfijn,0,0,13,14,14,8,10,13,13,12,11,10,13,11,16,13,6,13,14,12,16,13,13
trout,forel,0,0,0,11,8,16,6,16,18,11,11,15,16,15,8,16,9,15,13,16,10,15,12
goldfish,goudvis,0,0,0,0,7,16,2,15,13,7,14,15,13,15,8,14,7,12,13,8,13,14,7
shark,haai,0,0,0,0,0,14,13,14,16,18,5,17,10,12,16,13,12,15,16,14,14,11,16
herring,haring,0,0,0,0,0,0,11,16,15,12,14,14,10,12,11,11,15,15,14,15,12,18,12
squid,inktvis,0,0,0,0,0,0,0,7,12,14,10,9,11,12,14,13,7,11,14,11,15,7,12
cod,kabeljauw,0,0,0,0,0,0,0,0,15,9,11,10,13,11,10,14,12,16,15,15,14,16,15
carp,karper,0,0,0,0,0,0,0,0,0,12,9,16,12,11,15,14,14,17,16,14,12,15,16
orca,orka,0,0,0,0,0,0,0,0,0,0,5,14,13,12,12,9,9,11,14,12,17,12,17
eel,paling,0,0,0,0,0,0,0,0,0,0,0,10,11,12,8,13,12,11,10,12,10,9,14
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,8,11,16,16,12,14,10,17
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,16,15,14,14,15,7,16,10
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,13,13,17,16,14,14,14
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11,14,9,19,8,16
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,15,10,13,13
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,6,15,15
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,12,17,16
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,15,11
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,13
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
