,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,4,12,8,12,11,13,17,15,4,4,13,5,10,1,14,4,1,15,12,15,14,8,11,10,16,1,7,6,6
ballet,ballet,0,0,2,2,2,2,6,1,2,1,1,2,3,1,18,3,1,14,1,3,5,3,18,2,2,1,1,1,2,2
baseball,baseball,0,0,0,16,3,14,16,12,3,16,7,16,7,15,1,10,5,3,16,8,2,10,4,8,12,18,3,9,12,5
basketbal,basketball,0,0,0,0,5,17,12,18,12,13,15,12,8,16,2,13,8,1,8,11,4,13,6,6,13,16,4,14,7,4
biljarten,billiards,0,0,0,0,0,1,12,8,1,4,9,17,4,1,9,11,3,12,11,3,14,6,2,6,5,4,16,2,1,7
boksen,boxing,0,0,0,0,0,0,6,16,12,15,12,14,11,19,1,15,16,5,13,8,10,17,9,10,12,11,1,4,5,10
golf,golfing,0,0,0,0,0,0,0,5,9,10,5,10,8,6,9,13,12,6,11,8,6,15,10,10,6,7,14,4,8,6
handbal,handball,0,0,0,0,0,0,0,0,12,11,14,15,2,17,3,13,6,2,18,12,15,15,2,12,14,17,6,5,11,5
hardlopen,running,0,0,0,0,0,0,0,0,0,10,8,10,10,12,3,11,11,1,11,8,10,11,5,14,12,13,6,10,7,13
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,14,7,10,15,2,12,16,6,14,6,6,13,1,5,8,9,4,12,14,5
judo,judo,0,0,0,0,0,0,0,0,0,0,0,9,15,10,1,7,8,1,13,12,7,12,3,7,12,12,2,4,7,6
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,9,15,2,16,10,7,10,10,9,14,5,10,13,12,2,6,10,8
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,14,1,11,4,3,12,6,10,7,7,3,2,12,9
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,1,16,12,8,14,3,15,16,18,1,10,13,7
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16,1,1,10,2,2,2,3,2,14,1,3,1
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,12,15,7,12,3,11,6,13,7,7,8,12
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,11,8,15,6,8,7,8,1,8,13,8
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,12,2,2,18,9,12,4
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,18,3,8,13,15,5,13,6,10
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,7,10,11,4,4,17,9
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,4,7,12,2,4,10
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,8,19,3,13,11,12
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,15,6,5,6
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,10,9,3,8
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,5,7
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,11
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
