,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,3,5,5,3,3,5,3,4,4,1,4,3,3,1,5,3,1,6,6,5,9,9,3,3,7,2,2,1,2
ballet,ballet,0,0,2,2,1,1,4,11,1,2,5,1,10,1,2,2,3,2,1,3,2,2,17,1,3,2,2,4,2,4
baseball,baseball,0,0,0,7,3,4,1,9,3,3,3,11,2,7,6,2,2,1,5,2,5,7,2,2,4,9,2,2,3,2
basketbal,basketball,0,0,0,0,3,7,4,15,3,4,13,5,2,5,3,4,2,1,11,4,3,3,5,7,15,10,2,6,2,2
biljarten,billiards,0,0,0,0,0,6,6,3,2,2,2,2,2,7,5,2,2,9,2,3,4,4,2,2,3,1,1,6,3,3
boksen,boxing,0,0,0,0,0,0,2,4,5,3,12,6,2,4,1,8,2,1,6,3,3,2,2,3,2,5,3,4,1,2
golf,golfing,0,0,0,0,0,0,0,11,1,10,2,7,2,3,4,2,2,10,4,2,5,7,2,1,9,5,2,2,2,2
handbal,handball,0,0,0,0,0,0,0,0,4,3,2,3,2,6,2,2,3,1,9,3,7,9,6,4,14,15,3,2,2,2
hardlopen,running,0,0,0,0,0,0,0,0,0,2,1,10,4,11,1,7,7,1,7,4,2,5,2,14,4,2,6,4,3,2
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,4,5,1,7,4,2,7,2,2,3,4,2,2,2,3
judo,judo,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,3,4,1,3,2,2,1,3,3,6,2,2,2,6,2
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,3,1,7,8,2,13,2,2,8,2,2,2
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,8,3,2,2,5,3,5,2,2,2,7,2
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,4,7,2,12,5,2,9,3,2,2,1,2
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,4,7,4,1,1,6,1,6,3
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,2,8,3,2,2,3,1,5,6,2
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,4,2,2,2,4,4,3,7,2
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,1,3,6,1,8,2,3,1
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,2,3,3,3,2,1,2,4
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,2,3,3,3,2,19,8
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,6,5,2,4,2,2,3
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,9,2,4,2
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,2,4,2,15
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,8,2,2
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,2,8
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
