,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,5,2,5,4,3,5,5,5,7,3,5,2,4,1,2,2,2,9,3,10,17,4,3,4,7,3,1,1,1
ballet,ballet,0,0,3,4,2,3,4,8,4,3,4,3,3,3,2,4,3,2,1,3,1,1,15,4,3,6,6,2,1,3
baseball,baseball,0,0,0,5,2,4,7,4,15,3,3,4,2,11,3,2,1,2,7,1,4,14,2,5,8,2,5,4,1,2
basketbal,basketball,0,0,0,0,3,5,4,7,7,1,3,14,1,6,1,1,2,2,3,1,3,3,2,4,10,8,6,2,2,1
biljarten,billiards,0,0,0,0,0,1,5,3,1,1,1,3,1,2,9,2,1,2,3,2,6,3,1,2,1,5,3,1,1,1
boksen,boxing,0,0,0,0,0,0,1,4,8,2,10,5,1,12,1,5,1,2,4,2,4,4,3,3,5,4,5,3,3,2
golf,golfing,0,0,0,0,0,0,0,2,2,4,1,5,1,2,1,1,1,2,2,1,5,6,3,1,4,4,5,2,2,1
handbal,handball,0,0,0,0,0,0,0,0,7,7,4,16,2,8,2,4,3,2,4,1,4,4,3,2,13,11,5,2,1,1
hardlopen,running,0,0,0,0,0,0,0,0,0,1,4,3,2,12,1,4,3,1,7,4,3,8,8,12,14,2,16,10,3,4
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,3,3,2,7,2,2,10,2,3,6,3,2,2,2,7,3,4,2,1,5
judo,judo,0,0,0,0,0,0,0,0,0,0,0,6,1,7,2,12,1,1,2,2,2,3,5,5,6,1,6,2,1,3
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,1,3,3,3,3,4,7,3,7,4,1,2,1
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,2,3,2,1,1,2,6,3,1,2,2,2,1
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,4,7,14,3,4,3,2,3
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1,3,3,2,1,1,1,2,3,2,1
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,3,3,1,2,2,1,1,1
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,12,1,1,2,2,2,1,4,2,4,1
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,2,4,1,4,1,2,1,10,5
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,14,3,4,4,5,5,1,1,3
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,1,4,2,16,14
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,3,3,3,4,3,2,1
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,4,2,4,3,2
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,7,2,3,4
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,2,1,3
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,1,2
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
