,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,6,6,6,5,5,6,6,8,5,5,9,4,4,6,12,6,4,9,4,12,15,6,7,5,7,6,6,5,5
ballet,ballet,0,0,3,4,3,3,5,6,3,5,6,4,4,6,5,6,6,3,4,3,6,6,18,10,1,5,6,5,3,5
baseball,baseball,0,0,0,12,5,6,8,8,14,6,5,6,6,15,3,4,4,3,9,6,4,6,4,8,8,9,7,4,5,4
basketbal,basketball,0,0,0,0,5,8,5,9,9,3,6,8,3,9,3,6,4,3,5,9,5,7,9,8,8,11,6,8,6,6
biljarten,billiards,0,0,0,0,0,6,14,4,3,4,4,9,3,6,8,6,4,3,4,5,7,6,6,4,8,3,5,4,4,5
boksen,boxing,0,0,0,0,0,0,7,5,8,6,13,8,5,7,3,16,3,5,7,4,6,7,6,7,10,10,5,5,3,4
golf,golfing,0,0,0,0,0,0,0,5,4,12,4,9,6,5,4,7,6,4,9,4,6,8,6,8,5,5,9,6,8,7
handbal,handball,0,0,0,0,0,0,0,0,6,5,7,7,6,8,3,6,5,3,6,5,10,6,4,6,9,12,6,6,6,3
hardlopen,running,0,0,0,0,0,0,0,0,0,5,6,8,6,11,6,5,8,3,6,6,5,7,4,8,12,4,10,7,6,7
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,4,7,3,6,6,9,8,3,7,9,4,5,4,6,6,4,6,6,4,8
judo,judo,0,0,0,0,0,0,0,0,0,0,0,6,3,10,7,8,5,3,6,3,6,5,7,7,6,5,6,3,4,8
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,7,4,3,6,7,6,10,6,6,8,8,5,3,4,6
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,8,3,6,6,4,6,6,8,4,5,10,8,5,3
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,7,4,3,8,6,8,15,9,6,4,4,3
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,6,6,6,6,3,10,5,3,6,3,4,6
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,6,6,9,6,6,8,7,6,5,4,6
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,7,8,5,5,8,5,9,9
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,2,5,3,4,8,7,9,9
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,18,4,8,8,6,4,3,4,3
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,6,6,4,9,5,15,12
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,10,4,5,6,6,5,4
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,6,6,8,7,4
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,5,5,6,6
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,6,6,8
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,6
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
