,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,11,7,13,8,5,9,6,14,7,8,9,3,6,10,13,5,10,14,6,10,17,9,5,9,11,9,5,5,4
ballet,ballet,0,0,5,8,5,6,5,9,12,10,13,12,7,6,11,11,7,6,12,10,11,8,17,6,4,13,13,6,11,14
baseball,baseball,0,0,0,6,8,6,14,4,12,5,10,9,5,6,7,7,5,9,11,9,7,8,8,5,6,8,9,7,4,6
basketbal,basketball,0,0,0,0,7,8,11,10,11,7,5,5,7,9,4,5,9,6,9,4,7,7,6,6,12,12,10,8,7,5
biljarten,billiards,0,0,0,0,0,6,9,8,5,11,8,11,7,9,11,7,5,4,4,6,9,8,5,2,8,5,8,6,4,5
boksen,boxing,0,0,0,0,0,0,2,12,8,14,12,9,8,16,5,15,5,5,7,7,8,5,7,6,12,5,5,5,5,8
golf,golfing,0,0,0,0,0,0,0,10,5,4,5,14,7,5,8,5,3,7,10,6,8,10,11,10,4,4,8,8,17,6
handbal,handball,0,0,0,0,0,0,0,0,4,9,7,5,5,13,4,3,9,6,15,7,6,6,9,4,14,17,10,6,8,9
hardlopen,running,0,0,0,0,0,0,0,0,0,7,10,6,12,16,7,6,13,8,12,5,7,8,12,17,12,12,18,13,5,11
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,13,5,1,6,4,6,10,7,5,5,11,5,7,7,10,9,3,12,7,4
judo,judo,0,0,0,0,0,0,0,0,0,0,0,9,8,5,7,12,8,9,5,9,9,7,14,10,11,5,5,9,12,1
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,8,6,5,7,5,7,6,8,10,8,10,11,5,2,5
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,6,6,5,8,6,16,7,10,6,4,10,11,11,7
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,7,8,6,11,5,6,19,9,5,6,5,12
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,5,6,5,6,8,6,5,8,6,5,5
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,5,8,8,11,5,5,8,8,8,9,7
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,5,14,8,9,11,9,8,9,6,4
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,6,9,11,5,6,6,11,13,10
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,16,7,9,6,10,8,5,11,2
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,5,6,5,9,5,15,6
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,9,10,10,7,5,4
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,12,5,10,8,8
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,10,8,7,12
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,12,5,8
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,8,5,7
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,5,7
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
