,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,14,5,7,7,2,8,6,4,8,6,6,3,2,13,8,3,3,15,5,14,4,12,2,8,6,6,4,4,8
ballet,ballet,0,0,2,2,15,1,4,4,4,1,2,3,4,2,7,5,3,2,2,5,11,7,18,5,3,9,8,4,3,4
baseball,baseball,0,0,0,7,4,13,2,7,8,14,6,16,3,18,3,2,4,3,17,3,2,2,5,2,10,13,3,4,4,3
basketbal,basketball,0,0,0,0,4,9,7,16,6,5,4,10,4,5,2,3,2,3,5,6,4,4,6,10,15,9,7,3,3,3
biljarten,billiards,0,0,0,0,0,2,14,4,3,8,2,6,3,2,14,6,3,5,5,5,4,6,5,2,3,4,12,4,4,8
boksen,boxing,0,0,0,0,0,0,2,6,11,4,12,11,3,16,1,2,4,2,4,2,2,2,1,11,9,2,3,4,3,2
golf,golfing,0,0,0,0,0,0,0,3,3,12,6,7,7,4,16,4,3,4,14,6,12,6,8,4,4,3,8,6,8,4
handbal,handball,0,0,0,0,0,0,0,0,9,5,4,7,3,6,3,4,5,3,3,3,9,9,6,9,16,14,3,5,4,3
hardlopen,running,0,0,0,0,0,0,0,0,0,10,9,10,11,8,1,4,6,3,5,6,3,5,5,9,8,5,11,5,5,6
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,12,5,3,15,5,4,3,4,4,5,3,3,3,4,6,5,3,3,6,11
judo,judo,0,0,0,0,0,0,0,0,0,0,0,7,3,9,3,3,2,3,7,3,3,8,7,4,3,6,2,4,5,3
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,3,2,3,11,3,6,10,6,9,7,10,2,3,2,3
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,4,3,3,3,3,3,10,3,3
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,2,2,2,6,7,3,8,7,7,12,2,6,3
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,9,4,4,13,5,6,2,2,2,15,2,3,2
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,3,6,6,3,6,6,4,4,2,8,2
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,4,7,3,5,4,3,12,6,4,3
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,3,3,3,4,3,11,3,13,18
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,19,4,6,7,7,12,3,5,5
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,5,3,4,3,19,16
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,4,7,8,3,2,3
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,6,4,4,3
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,4,5,4,8
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,6,3,3,2
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,6,2
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
