,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,8,8,6,6,9,8,10,8,5,5,9,6,4,11,11,5,12,6,6,13,12,7,4,8,11,5,5,6,6
ballet,ballet,0,0,6,2,8,6,6,3,7,3,3,3,4,6,6,3,7,5,3,5,3,6,18,4,5,3,5,3,3,6
baseball,baseball,0,0,0,14,8,12,1,15,11,4,10,6,6,12,6,6,3,2,5,7,6,18,4,8,9,6,4,8,7,6
basketbal,basketball,0,0,0,0,3,7,7,11,8,9,7,3,6,14,11,6,5,3,10,9,11,10,6,6,6,11,6,6,6,6
biljarten,billiards,0,0,0,0,0,9,13,5,4,6,3,17,6,3,13,6,9,3,6,7,9,6,5,7,6,6,6,9,6,4
boksen,boxing,0,0,0,0,0,0,6,16,6,13,14,3,5,9,7,6,4,3,5,6,9,11,3,7,10,5,7,10,5,5
golf,golfing,0,0,0,0,0,0,0,6,3,11,6,6,2,9,10,4,5,3,14,5,6,16,4,9,8,5,5,3,9,6
handbal,handball,0,0,0,0,0,0,0,0,7,6,6,6,3,14,11,6,6,3,10,3,5,3,8,9,11,13,3,6,3,6
hardlopen,running,0,0,0,0,0,0,0,0,0,8,8,6,5,6,6,7,3,6,8,6,4,8,8,12,10,6,18,4,6,8
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,10,4,9,15,5,10,13,6,9,7,6,6,6,5,11,10,3,5,6,5
judo,judo,0,0,0,0,0,0,0,0,0,0,0,3,3,11,11,5,11,6,12,3,4,12,5,9,3,8,6,5,6,5
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,6,7,3,11,2,6,7,3,7,6,6,3,6,8,3
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,5,6,2,3,5,6,3,6,6,5,3,3
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,3,11,6,9,10,4,6,13,11,5,6,5,9
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,3,6,5,5,3,12,6,6,2,6,6
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,5,6,3,3,3,6,6,6,3,6,6
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,6,6,9,5,6,7,9,6,9,11
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,7,5,5,5,6,3,3,9,5
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,18,6,4,7,11,7,3,6,7
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,5,3,6,6,18,13
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,6,8,6,6,4,5,8
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,12,6,6,5,5
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,4,6,6
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,3,3
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,4,6
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,9
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,11
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
