,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,2,2,4,5,2,2,6,2,2,2,2,13,3,3,7,3,2,8,2,10,16,4,2,2,13,2,3,1,2
ballet,ballet,0,0,2,3,2,6,2,2,2,2,4,2,9,2,10,6,2,11,2,2,3,4,16,2,2,3,6,8,12,4
baseball,baseball,0,0,0,5,4,2,2,3,2,2,10,2,2,13,1,2,2,2,2,2,2,5,3,2,12,3,2,2,2,2
basketbal,basketball,0,0,0,0,2,11,2,8,5,2,2,2,2,10,1,2,2,3,8,2,2,4,2,2,6,6,10,2,1,2
biljarten,billiards,0,0,0,0,0,2,10,3,2,9,2,5,3,2,1,3,2,6,4,2,10,2,2,2,2,2,2,4,2,11
boksen,boxing,0,0,0,0,0,0,2,2,2,2,5,2,2,8,1,10,2,12,2,2,4,3,6,2,2,2,7,1,1,1
golf,golfing,0,0,0,0,0,0,0,2,10,8,2,2,2,2,10,2,2,2,2,2,6,2,2,2,3,2,6,2,2,2
handbal,handball,0,0,0,0,0,0,0,0,4,2,2,2,1,2,1,11,2,2,3,5,2,9,2,2,6,18,1,2,2,14
hardlopen,running,0,0,0,0,0,0,0,0,0,3,6,3,3,2,1,2,3,2,2,11,2,5,4,7,9,3,20,6,2,2
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,9,2,4,2,2,9,9,2,8,5,3,9,2,2
judo,judo,0,0,0,0,0,0,0,0,0,0,0,2,2,6,1,2,2,4,2,2,5,4,15,3,2,2,8,4,2,2
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,2,2,2,2,2,2,5,7,6,3,2,2,2
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,2,1,2,2,16,2,12,2,2,2,6,2
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,2,2,2,2,2,2,2,13,4,2,2,2,3
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,6,1,1,1,1,3,1,1,4
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,8,2,9,4,2,2,4,2,10,1
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,2,2,3,2,2,2,7,7,6,2
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,5,2,2,2,3,12,3,2,4
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,13,2,2,4,15,2,4,2
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,2,16,2
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,2,3,9,1,2,2,2
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,13,2,2,2,2
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,4,2,3,11
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,10,2,2,2
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,2
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
