,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,8,10,2,4,2,4,30,2,6,4,2,4,36,20,10,2,2,-2,4,4,20,10,2,2,2,2,4,4,10
aardbei,strawberry,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,4,2,2,2,2,2
abrikoos,apricot,0,0,0,2,30,2,4,2,20,2,30,2,4,2,4,2,2,4,-2,24,10,20,4,24,14,10,2,36,14,30
ananas,pineapple,0,0,0,0,2,2,2,2,4,2,2,2,2,2,2,2,4,2,-2,2,2,2,2,2,2,2,2,2,2,2
appel,apple,0,0,0,0,0,2,4,2,10,2,10,2,4,4,6,4,2,10,-2,16,20,2,4,4,4,2,2,8,10,6
banaan,banana,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2
bosbes,blueberry,0,0,0,0,0,0,0,36,2,4,2,2,36,30,30,4,2,2,-2,2,10,30,2,4,2,2,2,4,2,4
braambessen,blackberry,0,0,0,0,0,0,0,0,2,22,2,2,36,40,30,4,2,2,-2,4,2,16,2,4,2,4,2,4,2,4
citroen,lemon,0,0,0,0,0,0,0,0,0,2,10,2,4,4,4,6,2,34,-2,10,20,6,4,10,2,20,2,10,10,10
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,2,36,2,4,2,16,2,2,-2,2,2,2,2,2,2,2,2,4,2,2
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,2,4,-2,24,10,4,14,22,4,6,2,24,20,36
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,2,4,2,-2,2,2,30,2,2,2,32,2,8,2,2
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,4,20,2,-2,2,2,34,2,6,20,2,2,10,2,4
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,2,-2,4,2,14,2,2,2,2,2,6,2,2
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,-2,4,4,30,4,4,20,2,2,10,4,6
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,-2,2,2,30,4,2,4,14,10,2,2,10
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,4,2,10,2,2,2,4,2,2,10,2
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,10,4,10,4,10,6,10,2,6,4,10
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,6,30,36,4,2,24,28,36
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6,4,6,2,10,14,10
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4,16,2,20,4,4
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,10,2,10,20,10
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,30,20,36
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,20,4,14
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,20,10
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
