,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aardbei,strawberry,0,0,6,3,5,6,12,18,3,6,9,8,15,16,6,1,-1,-1,2,5,4,-1,1,1,3,1,2,1,4,4
abrikoos,apricot,0,0,0,6,13,3,4,5,8,15,5,3,1,5,7,7,9,-1,17,7,17,-1,15,8,20,7,13,10,9,7
ananas,pineapple,0,0,0,0,4,6,3,3,7,3,1,1,1,2,6,18,6,-1,4,5,5,-1,15,5,4,5,6,3,10,1
appel,apple,0,0,0,0,0,1,4,3,8,8,5,8,3,5,10,4,9,-1,9,14,7,-1,1,15,11,14,12,5,11,2
banaan,banana,0,0,0,0,0,0,2,4,5,3,1,1,1,1,2,1,1,-1,6,3,3,-1,5,6,5,5,1,3,6,1
bosbes,blueberry,0,0,0,0,0,0,0,20,2,3,9,6,18,13,3,5,3,-1,4,2,4,-1,2,1,4,1,2,6,2,6
braambessen,blackberry,0,0,0,0,0,0,0,0,1,3,9,2,15,6,5,3,-1,-1,1,2,4,-1,1,1,3,1,2,8,2,7
citroen,lemon,0,0,0,0,0,0,0,0,0,15,3,8,1,3,10,6,-1,-1,18,9,10,-1,16,4,10,7,9,6,13,3
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,13,3,2,8,9,5,12,-1,11,5,19,-1,10,5,15,8,5,15,8,4
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,6,14,7,13,7,2,-1,5,3,5,-1,1,3,4,6,2,9,4,16
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,6,14,3,3,7,-1,6,12,9,-1,2,5,3,9,3,6,6,13
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,-1,-1,7,1,5,-1,2,2,3,2,2,5,3,7
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,-1,3,3,5,-1,1,3,3,3,1,4,5,10
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,-1,15,6,10,-1,16,6,8,7,6,16,8,5
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,5,15,5,-1,3,3,4,10,9,6,7,4
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,16,6,6,-1,16,5,9,9,15,8,14,7
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,-1,19,4,15,6,15,10,15,5
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,15,6,5,17,16,9,12,2
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,19,8,19,19,12,13,12,3
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,15,1,15,2
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,5,3,1
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,13,6
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,18,2
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
