,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,4,6,3,5,6,17,17,6,7,10,16,6,14,13,3,5,15,10,10,6,3,13,3,3,4,1,3,3,6
aardbei,strawberry,0,0,2,5,2,6,15,15,12,12,16,15,18,12,14,3,5,17,10,10,11,8,8,2,6,5,2,3,4,17
abrikoos,apricot,0,0,0,9,16,8,13,2,17,18,3,14,2,12,14,16,17,16,15,12,18,17,16,16,18,13,9,18,16,18
ananas,pineapple,0,0,0,0,6,5,3,3,4,2,6,3,3,2,3,15,4,9,4,10,12,14,3,14,10,6,14,5,3,3
appel,apple,0,0,0,0,0,4,3,2,18,18,13,16,2,4,16,18,16,3,17,17,18,13,13,17,15,18,16,18,18,15
banaan,banana,0,0,0,0,0,0,2,3,2,2,18,2,3,4,3,8,9,2,3,3,3,3,4,10,3,2,3,3,11,2
bosbes,blueberry,0,0,0,0,0,0,0,17,3,16,9,17,14,13,3,3,3,16,3,12,7,3,5,11,8,2,3,8,9,9
braambessen,blackberry,0,0,0,0,0,0,0,0,12,4,7,16,16,16,4,2,14,13,2,3,3,3,3,3,6,4,1,11,9,6
citroen,lemon,0,0,0,0,0,0,0,0,0,17,2,14,4,15,18,16,18,14,16,16,18,15,17,11,17,17,12,17,18,18
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,6,15,3,9,16,15,18,6,15,16,18,16,17,13,18,18,16,18,18,17
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,17,9,8,14,2,15,16,2,2,3,2,3,13,2,2,3,10,3,13
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,16,19,16,11,16,16,11,14,16,13,11,10,16,13,9,11,16,16
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,3,3,13,6,9,5,5,4,9,8,6,3,2,3,12
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,14,17,3,13,12,12,11,9,16,6,2,14,6,13
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16,16,15,15,15,17,16,17,15,13,16,12,17
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,17,16,15,14,16,8,16,16,3,17,14,14
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,15,17,10,16,16,17,16,17,18,18,18
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,16,3,14,15,6,10,3,2,3,11
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,17,9,13,17,15,17,17,16,16
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,7,12,18,17,16,17,14
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,14,19,18,15,18,19,17
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,15,17,16,16,15,12
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,17,16,17,12,18
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,5,7,9,11
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,17,17,17
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,18,16
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,6
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
