,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,12,12,14,6,10,15,17,9,8,7,14,12,7,11,9,7,8,14,7,8,8,9,9,5,14,8,14,9,8
aardbei,strawberry,0,0,8,10,10,9,12,9,6,8,8,10,5,11,11,6,10,9,8,10,9,9,9,10,6,9,8,9,7,6
abrikoos,apricot,0,0,0,8,9,4,11,10,4,8,6,7,12,6,6,7,7,6,7,9,12,12,7,8,14,10,4,15,8,6
ananas,pineapple,0,0,0,0,9,15,6,9,12,7,4,8,7,8,8,17,10,9,9,9,9,9,5,11,11,10,16,5,9,5
appel,apple,0,0,0,0,0,15,9,8,8,5,7,9,6,9,9,8,8,7,9,10,10,5,4,15,11,9,6,11,12,8
banaan,banana,0,0,0,0,0,0,9,9,9,9,5,9,9,8,9,6,6,10,7,9,11,7,11,13,11,9,9,8,6,5
bosbes,blueberry,0,0,0,0,0,0,0,16,5,8,8,9,15,11,9,6,4,9,8,8,10,8,11,6,9,8,11,9,7,7
braambessen,blackberry,0,0,0,0,0,0,0,0,9,10,8,9,17,9,7,14,9,6,7,9,7,7,5,7,10,8,12,10,5,8
citroen,lemon,0,0,0,0,0,0,0,0,0,12,6,7,6,4,9,4,18,8,9,10,6,5,6,4,6,16,4,4,17,7
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,2,6,8,8,9,6,10,9,13,9,11,11,8,9,10,15,15,9,17,4
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,6,7,6,6,9,4,9,5,4,4,4,8,9,6,9,4,13,4,11
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,10,14,7,6,7,6,10,9,11,9,8,6,12,10,5,9,9,14
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4,10,6,10,9,11,9,7,8,9,11,7,7,9,2
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,10,12,13,12,8,9,9,13,4,8,10,10,9
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,8,8,8,9,9,10,11,9,4,8,9,8
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,7,9,9,6,4,10,6,4,5,7,9
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,10,6,6,7,8,6,8,4,10,14,7
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,9,8,9,4,8,5,6,14,5,13
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,7,13,8,11,8,9,5,12,9
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,10,8,9,8,10,10,4
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,17,9,9,11,13,8
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,11,6,9,9,6
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,8,9,9,12
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,9,11,9
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,11,8,6
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,15,10
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
