,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aardbei,strawberry,0,0,8,14,10,10,12,15,10,10,13,10,16,14,12,8,7,15,15,8,10,5,14,8,12,6,10,13,14,17
abrikoos,apricot,0,0,0,9,15,6,9,12,14,16,16,18,10,8,15,7,16,14,16,12,17,15,19,7,16,19,5,19,13,12
ananas,pineapple,0,0,0,0,9,12,10,6,10,7,10,7,12,8,11,16,11,14,15,18,11,14,7,5,14,18,13,10,14,7
appel,apple,0,0,0,0,0,8,8,10,10,9,2,8,9,6,10,7,10,11,14,7,15,10,12,14,16,11,10,13,14,10
banaan,banana,0,0,0,0,0,0,6,8,4,10,8,4,4,6,10,9,12,6,6,11,9,15,8,8,9,9,4,10,12,4
bosbes,blueberry,0,0,0,0,0,0,0,20,7,12,15,12,19,19,12,5,4,5,5,5,8,8,12,10,16,14,6,12,8,12
braambessen,blackberry,0,0,0,0,0,0,0,0,10,12,12,16,19,13,16,5,4,4,14,6,7,11,17,7,13,7,8,15,7,13
citroen,lemon,0,0,0,0,0,0,0,0,0,15,7,13,14,4,14,5,13,12,13,12,15,11,15,15,7,14,7,13,15,8
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,7,3,14,10,12,10,15,9,19,7,16,10,11,9,16,14,4,11,19,5
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,14,8,10,9,7,7,6,11,11,4,12,9,9,9,9,5,13,8,19
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,12,17,12,9,4,12,6,11,10,4,13,7,11,8,5,16,9,17
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,15,9,17,12,9,10,14,13,6,16,6,5,15,8,9
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,10,12,10,9,7,6,14,15,7,7,19,9,10
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,13,12,15,12,11,7,16,9,5,14,9,14
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,17,13,9,14,13,8,6,16,19,8,8,10
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,18,15,15,14,15,13,13,12,11,16,8
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,18,16,15,13,16,16,4,13,4,6
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,19,16,13,17,15,9,14,15,11
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,16,13,15,16,12,12,12,9
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,20,12,6,15,16,11
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,12,15,3,16,14,6
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,12,7,16,19,9
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,8,16,16,9
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,14,14,12
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,12,6
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
