,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,12,11,11,11,11,14,14,11,11,11,13,14,12,11,11,11,12,11,11,11,11,11,11,11,11,9,11,11,11
aardbei,strawberry,0,0,11,11,11,11,13,12,11,11,11,12,12,12,11,10,11,11,11,11,11,11,12,11,11,11,8,11,11,11
abrikoos,apricot,0,0,0,11,11,11,11,11,11,12,12,11,11,13,12,11,11,11,12,12,15,11,12,11,16,11,8,13,11,12
ananas,pineapple,0,0,0,0,11,12,11,11,11,11,11,11,11,11,12,11,11,11,11,12,11,12,11,11,11,12,8,11,11,11
appel,apple,0,0,0,0,0,11,11,11,11,12,12,11,11,11,11,11,11,11,11,12,12,12,12,14,11,11,8,11,11,11
banaan,banana,0,0,0,0,0,0,10,9,11,11,11,11,11,11,11,10,11,11,11,11,11,11,12,11,11,12,9,11,11,11
bosbes,blueberry,0,0,0,0,0,0,0,16,10,11,11,12,14,12,11,10,11,11,11,11,11,11,11,11,11,11,9,11,11,12
braambessen,blackberry,0,0,0,0,0,0,0,0,10,11,11,12,15,11,11,10,11,11,11,11,11,12,11,11,11,11,7,11,11,11
citroen,lemon,0,0,0,0,0,0,0,0,0,13,11,11,11,11,11,11,16,11,11,11,11,11,11,11,10,11,8,11,15,11
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,12,11,11,11,11,10,15,11,12,11,12,12,12,11,11,14,9,11,18,12
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,12,11,11,12,10,11,12,12,11,12,13,12,12,12,11,8,13,11,15
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,10,11,13,12,11,11,12,11,11,11,11,8,12,11,12
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,11,12,11,11,11,11,11,11,11,11,8,11,11,12
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,12,11,11,12,11,8,16,11,12
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,12,13,12,12,11,13,11,11,12,8,11,12,12
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,10,11,11,10,11,11,7,11,11,11
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,12,10,11,14,8,11,14,11
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,13,11,12,12,7,11,12,11
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,12,12,11,11,12,8,12,12,12
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,12,11,11,12,10,11,11,12
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,11,16,12,7,16,12,12
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,12,12,8,11,11,12
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,14,10,12,12,12
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,8,11,11,11
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,14,11,12
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,14,11
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
