,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,1,2,1,1,4,9,1,1,1,1,2,10,1,1,2,1,2,1,1,1,1,1,4,1,1,1,4,2,4
aardbei,strawberry,0,0,1,8,9,12,1,1,9,1,8,1,15,19,14,5,1,1,4,6,1,3,1,7,2,13,4,4,1,10
abrikoos,apricot,0,0,0,4,4,6,2,1,1,1,8,5,4,12,4,8,4,12,5,11,9,15,1,19,12,4,1,18,8,6
ananas,pineapple,0,0,0,0,2,2,1,4,4,1,1,1,1,1,1,12,5,1,2,5,4,1,1,8,1,9,1,8,1,9
appel,apple,0,0,0,0,0,10,5,1,7,1,1,2,8,1,5,1,1,1,5,5,7,6,5,1,2,5,15,7,1,12
banaan,banana,0,0,0,0,0,0,1,5,1,1,5,1,5,4,5,8,1,2,4,3,4,1,1,1,1,2,1,9,3,5
bosbes,blueberry,0,0,0,0,0,0,0,12,5,1,1,4,4,9,12,4,1,1,2,5,1,2,1,1,1,7,1,2,1,1
braambessen,blackberry,0,0,0,0,0,0,0,0,5,1,12,1,9,14,15,1,1,1,6,1,5,1,4,10,2,5,1,1,4,1
citroen,lemon,0,0,0,0,0,0,0,0,0,1,9,1,4,2,5,5,1,19,1,5,6,1,1,1,10,8,1,1,10,16
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,1,16,5,1,1,1,1,1,4,4,1,1,1,4,4,4,4,1,1,4
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,4,1,4,5,8,3,1,18,5,9,2,1,1,15
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,1,1,1,2,1,1,4,4,1,8,1,5,1,1
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,9,2,7,13,5,3,5,1,8,1,9,1,9,1,8
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7,7,4,1,1,1,1,5,4,1,5,1,7
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,2,1,1,4,4,4,1,2,1,1
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,18,1,5,1,6,8,15,4,8,1,1
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1,1,1,5,1,11,6,1
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,1,12,1,8,1,7,1,4,2,16
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,7,1,14,9,1,8,1,18
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,18,14,19,7,16,1,9
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,10,1,8,1,9
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,7,1,5,8
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,4
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,1,1,19
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,4,1
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1,7
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
