,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aardbei,strawberry,0,0,5,4,3,2,5,10,3,1,4,2,4,15,8,2,2,3,4,4,1,4,4,4,3,1,1,4,2,4
abrikoos,apricot,0,0,0,1,3,1,2,1,4,3,9,1,5,2,3,1,2,8,2,4,1,10,4,18,2,4,2,16,5,6
ananas,pineapple,0,0,0,0,1,2,1,1,1,1,2,1,1,1,2,1,2,1,5,1,1,1,1,1,4,1,1,1,1,1
appel,apple,0,0,0,0,0,1,5,2,4,1,7,1,3,1,2,5,3,6,2,1,6,7,4,6,1,2,10,5,5,8
banaan,banana,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,2,5,2,1,1,1,1
bosbes,blueberry,0,0,0,0,0,0,0,17,2,3,5,1,4,9,7,2,1,1,6,4,4,2,2,4,5,2,2,2,1,2
braambessen,blackberry,0,0,0,0,0,0,0,0,4,1,2,2,4,9,14,2,1,1,4,1,2,1,1,1,1,4,2,1,2,4
citroen,lemon,0,0,0,0,0,0,0,0,0,1,6,4,3,1,4,5,1,19,1,5,5,4,4,10,1,4,3,2,4,7
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,1,17,6,3,1,1,1,1,1,2,1,4,1,1,1,1,2,1,1,1
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,6,1,10,1,4,3,4,1,10,3,1,3,5,10,17
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,2,1,2,3,4,1,1,1,1,2,2,2,1
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,2,6,2,5,4,1,4,1,3,2,3,2,4
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,6,2,2,2,1,2,1,5,1,2,1,2
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,4,2,3,2,2,1,2,1,4,2,3
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,2,3,2,4,1,2,2,3,4,5
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,1,4,3,1,2,2,1,3,3
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,4,6,10,4,4,2,3,16,14
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,4,3,7,5,2,1,2,1
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,7,10,2,4,4,5,6,5
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,2,1,6,12,5
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,2,2,16,4,6
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,10,4
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,18,8,16
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,4,1
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
