,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,9,8,8,9,8,15,17,9,12,14,16,13,18,15,12,14,16,12,14,10,16,10,8,16,10,11,16,12,15
aardbei,strawberry,0,0,15,8,15,11,16,16,10,14,16,17,16,17,14,4,16,14,14,15,16,15,14,8,16,12,8,15,15,16
abrikoos,apricot,0,0,0,15,12,14,10,14,15,18,13,15,12,16,15,15,12,16,14,14,15,15,18,14,18,15,16,17,16,11
ananas,pineapple,0,0,0,0,14,7,16,12,11,15,12,11,14,14,13,11,10,16,15,14,14,15,15,11,15,15,14,12,17,12
appel,apple,0,0,0,0,0,15,5,6,16,14,14,14,13,14,15,13,16,9,15,17,12,9,15,18,16,15,13,14,18,15
banaan,banana,0,0,0,0,0,0,15,10,14,14,13,15,11,14,11,9,16,8,15,16,11,11,16,15,14,15,11,10,14,15
bosbes,blueberry,0,0,0,0,0,0,0,16,12,13,16,18,17,17,16,10,10,15,14,15,17,11,15,11,11,15,15,16,11,15
braambessen,blackberry,0,0,0,0,0,0,0,0,8,11,16,14,19,14,14,12,15,16,9,12,12,11,15,12,14,12,16,12,14,12
citroen,lemon,0,0,0,0,0,0,0,0,0,17,14,10,15,13,9,13,18,7,15,17,16,14,12,8,13,15,16,14,18,11
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,11,16,16,8,14,14,16,15,15,15,16,15,15,6,16,17,15,17,18,11
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,14,12,12,14,12,10,15,15,16,13,17,15,13,14,14,15,17,14,17
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,15,18,17,13,14,17,18,16,12,10,15,8,12,15,14,17,15,17
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,11,13,17,15,12,15,16,15,12,15,8,15,15,12,15
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,15,10,15,15,12,15,15,8,12,14,14,14,8,15
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,15,17,15,15,16,17,16,13,12,14,15,13,15
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,15,9,15,18,16,4,13,10,14,12,14,13
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,15,16,16,15,12,14,15,12,16,16,15
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,16,17,17,9,15,14,16,15,14,14
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,18,16,17,16,15,13,16,17,17
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,16,12,17,16,15,14,15,16
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,18,16,9,17,17,16
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,15,16,17,18,16,16
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,15,15,10,11,7
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,5,17,14,11
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,16,16,8
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,19,10
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,13
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
