,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,14,5,2,11,2,18,18,11,2,2,15,17,15,12,2,9,14,2,2,11,2,11,1,2,1,2,14,2,11
aardbei,strawberry,0,0,11,2,6,8,11,15,4,2,2,8,15,9,1,1,5,7,11,8,11,1,2,2,5,2,1,14,5,5
abrikoos,apricot,0,0,0,14,5,2,7,2,15,14,14,11,3,5,11,1,11,14,14,3,18,17,6,2,19,2,1,15,14,12
ananas,pineapple,0,0,0,0,5,14,2,5,5,1,2,2,3,2,12,15,3,15,8,5,11,15,3,8,5,11,6,5,15,12
appel,apple,0,0,0,0,0,5,5,8,2,5,14,2,5,5,14,1,12,3,12,11,11,12,2,18,11,2,2,11,8,2
banaan,banana,0,0,0,0,0,0,2,2,11,2,2,6,1,2,12,1,11,2,5,15,2,4,2,5,14,4,1,1,2,2
bosbes,blueberry,0,0,0,0,0,0,0,18,2,11,5,15,18,5,1,1,2,12,2,1,2,5,3,5,3,5,1,14,2,13
braambessen,blackberry,0,0,0,0,0,0,0,0,2,5,11,15,17,14,2,5,5,2,2,2,12,2,12,2,1,5,1,14,3,4
citroen,lemon,0,0,0,0,0,0,0,0,0,18,5,5,9,2,2,2,18,9,12,11,15,6,15,11,10,15,11,9,17,1
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,5,5,2,2,2,1,14,15,14,2,14,14,1,5,12,2,8,12,18,1
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,17,2,14,7,1,8,14,11,10,5,1,3,5,12,5,1,14,10,15
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,2,2,15,10,2,8,5,9,14,11,5,1,17,2,15
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,3,12,3,2,5,12,14,5,5,14,2,2,2,4
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,12,2,5,4,14,15,14,12,1,2,12,15,14
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,11,5,15,12,14,14,12,15,15,1,12,12,14
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,1,11,2,1,2,2,1,7,2,1
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,18,14,12,14,5,1,2,14,15,5
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,2,15,2,5,12,1,12,12,11
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,17,10,12,15,12,12,15,15,11
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,15,2,15,3,15,8,12,11
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,14,18,12,12,15,18,5
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,18,8,1,11,15,2
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,11,1,2,12,12
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2,2,5,2
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,12,14
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,14
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
