,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,15,3,2,2,2,16,17,3,2,1,6,18,16,2,16,7,5,3,2,2,2,2,1,5,2,1,4,2,6
aardbei,strawberry,0,0,3,3,2,1,6,7,1,4,8,4,18,16,1,7,2,8,3,2,3,2,2,1,6,2,2,6,4,2
abrikoos,apricot,0,0,0,1,5,4,4,3,9,9,3,3,2,3,6,3,4,7,14,2,16,8,8,3,17,5,2,15,6,3
ananas,pineapple,0,0,0,0,5,15,2,2,13,3,2,1,3,2,2,9,6,10,6,13,4,6,3,1,4,1,1,2,6,1
appel,apple,0,0,0,0,0,3,2,1,6,5,2,2,2,6,5,3,6,4,5,4,7,12,11,16,6,6,2,7,14,3
banaan,banana,0,0,0,0,0,0,2,2,3,3,1,1,2,2,1,1,4,3,3,3,15,1,4,4,4,1,2,2,15,3
bosbes,blueberry,0,0,0,0,0,0,0,16,2,2,5,18,17,15,3,1,3,2,1,2,2,2,3,2,3,1,2,15,7,2
braambessen,blackberry,0,0,0,0,0,0,0,0,3,2,6,16,16,16,4,2,1,8,2,2,6,-1,3,2,3,2,2,4,3,2
citroen,lemon,0,0,0,0,0,0,0,0,0,12,2,2,2,2,1,3,18,6,5,6,6,2,16,3,2,11,1,3,16,4
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,5,5,3,3,2,2,15,2,4,4,6,11,6,2,16,16,6,4,20,3
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,14,6,6,5,2,2,16,2,5,10,2,2,3,3,1,1,15,3,16
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,6,15,4,1,2,17,2,3,2,4,8,2,5,2,1,18,2,13
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,2,6,2,2,2,1,3,2,6,1,2,6,3,11
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,4,7,2,2,2,12,3,2,5,10,5
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,6,2,3,1,16,1,6,1,2,6,2,2
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,4,6,1,1,6,1,2,2,5
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,6,7,3,5,11,2,2,14,3
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,6,3,12,1,1,8,4,6
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,12,16,5,6,6,1,5,12,5
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,3,5,13,13,3,8,3
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,18,7,1,10,14,2
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,8,3,3,5,3
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,2,9,7,6
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,6,2
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,13,4
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,3
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
