,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,17,4,3,2,6,18,19,4,9,14,18,16,15,6,4,5,17,4,3,6,12,6,5,5,6,2,6,4,10
aardbei,strawberry,0,0,4,4,5,5,18,19,6,7,14,17,19,16,7,6,7,18,6,4,8,5,9,5,6,3,2,7,4,12
abrikoos,apricot,0,0,0,7,15,6,5,5,14,13,8,8,8,4,8,8,16,4,16,9,19,15,14,10,19,16,4,8,14,10
ananas,pineapple,0,0,0,0,3,6,3,3,3,5,6,3,3,4,5,12,7,3,6,14,10,13,10,4,8,4,8,6,8,5
appel,apple,0,0,0,0,0,7,5,8,8,16,9,6,4,4,11,11,11,3,13,4,14,9,13,18,16,12,3,14,18,15
banaan,banana,0,0,0,0,0,0,6,4,8,8,6,7,6,6,6,7,5,7,6,6,7,9,4,5,4,5,9,7,7,8
bosbes,blueberry,0,0,0,0,0,0,0,19,7,14,4,17,18,18,3,4,5,14,7,4,4,3,4,5,7,4,6,9,4,11
braambessen,blackberry,0,0,0,0,0,0,0,0,6,5,5,18,18,17,8,7,6,16,3,3,6,7,6,6,4,4,2,7,4,4
citroen,lemon,0,0,0,0,0,0,0,0,0,18,7,9,8,8,16,13,19,10,13,7,13,12,7,6,15,14,4,14,10,15
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,12,7,5,5,15,4,16,4,9,5,17,9,15,6,12,13,7,16,19,12
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,18,11,15,12,7,10,17,10,6,10,9,16,7,15,6,3,17,5,18
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,16,19,9,9,8,16,5,4,7,7,6,6,5,4,3,10,4,18
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,3,5,16,6,5,6,4,4,6,5,3,2,7,6,6
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,16,7,3,8,5,8,6,5,4,2,8,9,8
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,15,8,8,14,16,16,8,14,15,8,12,8,9
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,14,9,15,13,7,10,8,3,8,11,6
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,7,15,14,12,16,12,17,3,8,12,16
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,10,9,7,5,6,5,6,6,7,17
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,18,16,8,16,13,6,15,12,7
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,7,7,10,10,11,14,9,4
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,6,18,13,4,16,16,11
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,16,18,4,8,13,7
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,4,12,16,6
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,8,14,13,6
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,16,9
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,9
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
