,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,8,5,6,5,5,9,11,7,8,8,5,9,12,8,4,5,6,4,4,5,5,4,3,5,6,4,5,4,8
aardbei,strawberry,0,0,9,5,4,6,9,10,8,4,8,12,4,14,6,3,5,5,5,8,7,5,8,4,5,5,3,5,5,9
abrikoos,apricot,0,0,0,6,6,6,7,5,9,11,14,6,17,6,6,4,11,6,10,10,12,6,7,6,16,9,4,10,8,9
ananas,pineapple,0,0,0,0,5,6,5,3,4,6,4,4,9,4,11,6,5,5,5,5,6,8,6,6,5,4,4,7,8,5
appel,apple,0,0,0,0,0,6,6,5,5,13,5,4,6,5,7,5,10,5,6,4,14,6,5,8,10,7,5,5,9,5
banaan,banana,0,0,0,0,0,0,5,4,5,5,5,6,5,4,5,5,6,3,5,6,5,5,6,9,5,5,4,5,6,5
bosbes,blueberry,0,0,0,0,0,0,0,6,4,6,9,13,6,13,5,3,5,7,5,5,7,6,6,4,9,5,6,4,4,9
braambessen,blackberry,0,0,0,0,0,0,0,0,6,5,9,12,11,14,7,5,4,8,4,3,4,6,7,5,6,4,3,3,4,7
citroen,lemon,0,0,0,0,0,0,0,0,0,8,7,5,6,5,8,4,17,11,9,18,9,7,6,5,7,9,7,9,9,7
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,5,6,7,6,6,5,6,4,9,5,16,6,8,9,18,6,4,6,9,8
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,7,7,8,9,3,6,9,6,6,6,8,8,4,5,9,4,16,7,10
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,9,18,8,4,4,7,5,5,5,8,13,5,8,3,4,8,5,16
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,10,13,7,4,6,6,12,6,8,6,3,6,6,9
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,9,6,4,5,6,8,6,6,4,4,9,4,9
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,6,4,7,8,4,7,6,5,6,6,6,8
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,5,6,10,6,4,5,3,4,4,6
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,17,5,8,6,6,11,6,4,8,11,9
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,9,11,5,9,6,4,11,5,12
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,9,7,11,7,4,7,9,12
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,6,6,7,7,5,5,4
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,13,5,4,12,9,6
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,6,4,9,6,8
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,4,9,6,12
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,9,9,6
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,6,13
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,5
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
