,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,13,11,5,9,9,16,17,10,9,6,12,16,13,8,4,10,11,8,4,10,11,10,8,4,4,5,9,10,9
aardbei,strawberry,0,0,10,4,8,16,14,13,14,14,6,10,15,12,5,4,12,10,13,8,11,9,12,12,10,10,10,11,12,9
abrikoos,apricot,0,0,0,8,9,8,8,14,8,9,15,12,11,11,10,9,12,12,10,13,12,10,12,8,9,11,5,14,4,16
ananas,pineapple,0,0,0,0,6,7,6,11,9,11,8,9,11,8,10,15,6,8,8,13,11,12,9,8,12,11,15,5,7,6
appel,apple,0,0,0,0,0,14,11,8,13,11,9,12,11,13,13,4,10,9,11,10,14,9,12,19,14,11,12,13,18,8
banaan,banana,0,0,0,0,0,0,8,8,14,14,8,9,9,13,13,9,14,5,8,9,12,10,10,15,15,9,8,8,16,12
bosbes,blueberry,0,0,0,0,0,0,0,18,9,7,10,16,15,16,8,8,9,14,7,5,9,11,10,10,5,10,4,8,9,13
braambessen,blackberry,0,0,0,0,0,0,0,0,11,10,10,17,15,12,12,7,12,11,9,5,9,10,7,9,7,7,8,12,6,11
citroen,lemon,0,0,0,0,0,0,0,0,0,13,8,11,11,12,13,4,19,13,13,11,14,10,17,8,12,5,11,13,17,8
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,10,12,8,12,6,11,11,11,9,8,14,8,11,12,15,7,8,12,19,8
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,14,12,9,6,8,9,11,10,3,9,7,8,7,8,9,6,11,8,16
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,11,19,11,8,11,14,5,9,12,11,14,6,10,11,5,11,9,14
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,9,12,12,10,11,10,14,8,14,5,9,14,9,7
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,11,10,7,10,10,11,13,11,5,9,12,11,10
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,15,13,8,12,11,12,13,10,9,5,12,14,11
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,14,13,4,14,11,9,8,11,12,9,9,7
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,6,12,18,8,14,8,10,11,10,12
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,7,11,12,9,11,7,8,15,8,10
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,13,13,8,11,10,10,12,12,7
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,8,11,10,14,16,9,12,7
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,14,19,13,12,13,16,8
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,9,12,6,13,9,11
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,8,11,12,11,12
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,7,14,15,5
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,14,15,7
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,7
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
