,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,11,5,4,6,4,16,18,5,5,7,12,12,5,6,6,8,7,4,4,5,4,11,5,8,5,4,6,4,5
aardbei,strawberry,0,0,8,8,6,5,9,11,6,8,6,7,13,6,8,5,7,6,5,5,6,8,8,6,9,4,4,6,6,9
abrikoos,apricot,0,0,0,8,12,8,6,5,7,16,12,8,4,7,6,5,5,8,14,11,17,12,9,8,17,9,6,14,11,11
ananas,pineapple,0,0,0,0,5,9,4,4,8,6,7,4,5,6,7,11,4,8,6,11,7,9,8,8,12,9,3,5,8,9
appel,apple,0,0,0,0,0,6,4,4,7,9,5,9,4,5,9,4,8,4,8,8,9,8,6,8,8,7,4,11,8,8
banaan,banana,0,0,0,0,0,0,3,4,6,5,8,5,4,7,9,5,5,8,11,10,7,8,5,8,4,4,4,4,9,8
bosbes,blueberry,0,0,0,0,0,0,0,18,4,5,6,12,14,8,5,3,8,8,7,5,6,4,8,4,4,4,3,7,4,9
braambessen,blackberry,0,0,0,0,0,0,0,0,6,5,11,8,17,7,8,3,4,6,6,4,5,4,5,4,15,6,4,7,6,11
citroen,lemon,0,0,0,0,0,0,0,0,0,16,6,11,6,6,8,6,18,9,8,7,9,4,11,6,8,16,6,6,16,8
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,7,5,4,6,9,4,16,8,8,8,9,6,7,6,11,16,4,9,17,11
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,14,7,6,6,11,9,14,9,9,7,8,12,7,9,6,4,11,4,15
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,12,17,5,4,5,8,11,6,11,6,8,9,9,6,4,11,5,14
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,6,6,4,6,4,4,8,4,7,9,2,6,7,6
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,8,8,6,9,4,6,8,6,6,3,11,6,8
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,13,11,6,10,9,11,6,11,5,4,11,8,13
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,11,8,8,8,5,4,4,4,6,6,6
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,9,12,6,8,8,12,15,2,8,17,5
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,4,11,8,8,6,3,12,10,14
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,15,8,8,14,11,7,14,7,8
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,6,11,14,6,11,8,7
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,18,7,7,17,9,6
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,7,13,11,7,9
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,4,11,6,13
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,4,8,7,8
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,6,7
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,18,7
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
