,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3
beitel,chisel,0,0,3,3,4,3,3,4,3,6,3,2,3,3,3,3,-1,-1,3,3,3,4,3,3,3,3,3,4,3,3
bijl,axe,0,0,0,2,13,3,3,4,3,8,5,3,4,3,3,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3
boormachine,drill,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,3,-1,4,3,3,3,3,3,3,3,3,3,3,2,4
breekijzer,crowbar,0,0,0,0,0,4,3,-1,3,8,6,3,3,3,3,3,-1,3,3,3,3,3,4,2,3,3,3,3,3,3
engelse sleutel,adjustable spanner,0,0,0,0,0,0,3,3,6,3,4,3,3,6,3,3,-1,3,3,3,3,3,3,3,3,3,3,3,4,3
grasmachine,lawn mower,0,0,0,0,0,0,0,3,3,3,2,4,3,3,3,3,-1,3,3,3,3,3,3,4,3,3,3,2,3,3
hamer,hammer,0,0,0,0,0,0,0,0,3,4,7,3,3,3,3,3,-1,3,3,4,3,3,3,2,3,3,3,3,3,4
houtklem,clamp,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,8,3,4,3,3,3,-1,3,3,3,3,4,3,3,3,3,3,3,3,3
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,-1,3,3,3,3,3,3,2,3,3,3,3,3,3
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,-1,3,3,3,3,3,3,4,3,3,3,3,3,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,-1,3,3,3,4,3,3,3,3,3,3,3,3,4
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-1,3,3,-1,3,3,3,3,-1,3,3,3,3,3
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,3,3,3,3,3,3,2,3,3,2,3,3,3
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,4,3,3,3,3,3,3,3,3,3,3,3
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,-1,3,3,3,3,3,3,3,3
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,2,3,3,3,1,3
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,2,3,3,3
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3,3,3,8
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,3,3,3
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
